"Code","Symbol","Industry","Board"
"AA.BA","ALCOA INC CEDEAR EACH 6 REP 1 USD1","Unknown","BCBA"
"AAPL.BA","APPLE INC CEDEAR(REPR 1/10 SHR)","Unknown","BCBA"
"ABT.BA","ABBOTT LABS CEDEAR EACH REP 1/2 ORD NPV","Unknown","BCBA"
"ABX.BA","BARRICK GOLD CORP CEDEAR EACH REP 1 COM NPV","Unknown","BCBA"
"ACH.BA","ALUMINUM CORP CHN CEDEAR EACH REP 0.2 ADR","Unknown","BCBA"
"ADI.BA","ANALOG DEVICES INC CEDEAR EACH 3 REP 1 USD0.16","Unknown","BCBA"
"ADTE.BA","Telefonica Data Argentina SA","Unknown","BCBA"
"AEM.BA","AGNICO EAGLE MINES CEDEAR EACH REP 1/3 COM NPV","Unknown","BCBA"
"AEN.BA","ANDES ENERGIA PLC ORD GBP0.10","Unknown","BCBA"
"AGRO.BA","Agrometal SAI","Unknown","BCBA"
"AIG.BA","AMER INTL GRP CEDEAR EACH 5 REPR 1 ORD US","Unknown","BCBA"
"ALPA.BA","Alpargatas SAIC","Unknown","BCBA"
"ALUA.BA","Aluar Aluminio Argentino S.A.I.C.","Unknown","BCBA"
"AMGN.BA","AMGEN INC CEDEAR EACH 5 REPR 1","Unknown","BCBA"
"AMX.BA","AMERICA MOVIL SAB CEDEAR EACH REP 1 ADR(REP 2","Unknown","BCBA"
"APBR.BA","PETROL BRASILEIROS COM NPV","Unknown","BCBA"
"APBRA.BA","PETROL BRASILEIROS PRF NPV","Unknown","BCBA"
"AUSO.BA","Autopistas del Sol SA","Unknown","BCBA"
"AUY.BA","YAMANA GOLD INC CEDEAR EACH REP 1 SHS","Unknown","BCBA"
"AVP.BA","AVON PRODUCTS INC CEDEAR EACH 1 REP 1 USD0.25","Unknown","BCBA"
"AVY.BA","AVERY DENNISON CP CEDEAR EACH 3 REP 1 USD1","Unknown","BCBA"
"AXP.BA","AMER EXPRESS CO CEDEAR REP 1/10 ORD USD0.2","Unknown","BCBA"
"AZN.BA","ASTRAZENECA CEDEAR EACH REP 0.5 ADR USD","Unknown","BCBA"
"BA.BA","BOEING CO CEDEAR (3 REP 1 USD5)","Unknown","BCBA"
"BA.C.BA","BK OF AMERICA CORP CEDEAR REP 1/2 COM USD0.01","Unknown","BCBA"
"BAYN.BA","BAYER AG CEDEAR EACH REP 1 ADR NPV","Unknown","BCBA"
"BBD.BA","BCO BRADESCO SA CEDEAR EACH REP 1 PRF ADR","Unknown","BCBA"
"BBRY.BA","BLACKBERRY LTD CEDEAR(REPR 1/3 SHR)","Unknown","BCBA"
"BBV.BA","BBVA(BILB-VIZ-ARG) CEDEAR EACH REPR 1 ADS","Unknown","BCBA"
"BCS.BA","BARCLAYS PLC CEDEAR EACH 6 REPR 1 ADR","Unknown","BCBA"
"BHIP.BA","Banco Hipotecario SA","Unknown","BCBA"
"BHP.BA","BHP BILLITON LTD CEDEAR REP 1 ADR(REP 2 ORD","Unknown","BCBA"
"BK.BA","BK OF NY MELLON CP CEDEAR EACH REP 0.5 USD0.01","Unknown","BCBA"
"BMA.BA","Banco Macro SA","Unknown","BCBA"
"BMA.5.BA","Banco Macro SA","Unknown","BCBA"
"BMY.BA","BRISTOL-MYRS SQUIB CEDEAR REP 1 COM USD0.10","Unknown","BCBA"
"BNG.BA","BUNGE LIMITED CEDEAR EACH REP 5 COM","Unknown","BCBA"
"BOLT.BA","Boldt S.A.","Unknown","BCBA"
"BP.BA","BP CEDEAR EACH REPR 1/5 ADR(AR","Unknown","BCBA"
"BPAT.BA","Banco Patagonia SA","Unknown","BCBA"
"BRIO.BA","Banco Santander Rio SA","Unknown","BCBA"
"BRIO5.BA","Banco Santander Rio SA","Unknown","BCBA"
"BRIO6.BA","BANC SANTANDER RIO NON VTG PRF SHS ARS1","Unknown","BCBA"
"BSBR.BA","BANCO SANTANDER(BR CEDEAR EACH REP 1 ADR NPV","Unknown","BCBA"
"BSN.BA","DANONE CEDEAR EACH REP 0.05 ADR","Unknown","BCBA"
"BSUQ.BA","Nuevo Banco Suquia SA","Unknown","BCBA"
"BT.BA","BT GROUP CEDEAR EACH REPR 1/8 ADR","Unknown","BCBA"
"C.BA","CITIGROUP INC CEDEAR EACH REP 0.01 COM","Unknown","BCBA"
"CADO.BA","Carlos Casado SA","Unknown","BCBA"
"CADO5.BA","Carlos Casado SA","Unknown","BCBA"
"CAPU.BA","Caputo SAIC y F","Unknown","BCBA"
"CAPX.BA","Capex SA","Unknown","BCBA"
"CARC.BA","Carboclor Sociedad Anonima","Unknown","BCBA"
"CAT.BA","CATERPILLAR INC CEDEAR ECH REP 1/5 COM USD1","Unknown","BCBA"
"CDE.BA","COEUR MINING INC CEDEAR EA REP 1 COM STK1","Unknown","BCBA"
"CECO2.BA","Endesa Costanera SA","Unknown","BCBA"
"CELU.BA","Celulosa Argentina Sociedad Anonima","Unknown","BCBA"
"CEO.BA","CNOOC LTD EACH CEDEAR REP 0.25 ADR","Unknown","BCBA"
"CEPU.BA","Central Puerto SA","Unknown","BCBA"
"CGPA1.BA","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CGPA2.BA","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CGPA3.BA","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CHA.BA","CHINA TELECOM CORP EACH CEDEAR REP 0.5 ADR","Unknown","BCBA"
"CHAS.BA","Compania Hotelera Argentina S.A.","Unknown","BCBA"
"CHL.BA","CHINA MOBILE LTD CEDEAR EACH 6 REP 1 ADR","Unknown","BCBA"
"CITI.BA","Telefonica Holding de Argentina S.A.","Unknown","BCBA"
"CITI5.BA","Telefonica Holding de Argentina S.A.","Unknown","BCBA"
"CMCS.BA","COMCAST CORP CEDEAR EACH REPR 1 'A'SPL C","Unknown","BCBA"
"COLO.BA","Colorin Industria de Materiales Sintetic","Unknown","BCBA"
"COME.BA","SOC COM DEL PLATA ARS10","Unknown","BCBA"
"COMO.BA","Cia. Argentina de Comodoro Rivadavia","Unknown","BCBA"
"COUR.BA","Continental Urbana S.A.I.","Unknown","BCBA"
"CRES.BA","Cresud S.A.C.I.F. y A.","Unknown","BCBA"
"CS.BA","CREDIT SUISSE GP CEDEAR EACH REP 1 ADR","Unknown","BCBA"
"CSCO.BA","CISCO SYSTEMS CEDEARS ECH 5 REP 1 COM NPV","Unknown","BCBA"
"CTIO.BA","Consultatio SA","Unknown","BCBA"
"CVX.BA","CHEVRON CORP CEDEAR EACH 8 REP 1 USD0.75","Unknown","BCBA"
"CVZA.BA","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CVZA5.BA","Compania Industrial Cervecera S.A.","Unknown","BCBA"
