"Code","Symbol","Industry","Board"
"ACG1V.FI","Aspocomp Group Oyj","Unknown","HEL"
"AFAGR.FI","Afarak Group Oyj","Unknown","HEL"
"AFE1V.FI","Affecto Oyj","Unknown","HEL"
"AHL1V.FI","Ahlstrom Corporation","Unknown","HEL"
"AKTAV.FI","Aktia Bank Plc A","Unknown","HEL"
"AKTRV.FI","Aktia Bank Plc R","Unknown","HEL"
"ALBAV.FI","Alandsbanken Abp","Unknown","HEL"
"ALBBV.FI","Alandsbanken Abp","Unknown","HEL"
"ALD1V.FI","SymphonyEYC Finland Oy","Unknown","HEL"
"ALN1V.FI","Alma Media Oyj","Unknown","HEL"
"AMEAS.FI","Amer Sports Oyj","Unknown","HEL"
"APETI.FI","Apetit Oyj","Unknown","HEL"
"ASPO.FI","Aspo Oyj","Unknown","HEL"
"ATG1V.FI","Asiakastieto Group Plc","Unknown","HEL"
"ATRAV.FI","Atria Oyj","Unknown","HEL"
"BAS1V.FI","Basware Oyj","Unknown","HEL"
"BIOBV.FI","Biohit Oyj","Unknown","HEL"
"BITTI.FI","Bittium Oyj","Unknown","HEL"
"BTH1V.FI","Biotie Therapies Corp","Unknown","HEL"
"BTH1VN0112.FI","Biotie Therapies Oyj. New Shares 2012","Unknown","HEL"
"CAV1V.FI","Caverion Oyj","Unknown","HEL"
"CGCBV.FI","Cargotec Oyj","Unknown","HEL"
"CNC1VN0113.FI","Cencorp New Shares","Unknown","HEL"
"CONSTI.FI","Consti Yhtiot Oyj","Unknown","HEL"
"CPMBV.FI","CapMan Oyj","Unknown","HEL"
"CRA1V.FI","Cramo Oyj","Unknown","HEL"
"CTH1V.FI","Componenta Oyj","Unknown","HEL"
"CTL1V.FI","Comptel Oyj","Unknown","HEL"
"CTY1S.FI","Citycon Oyj","Unknown","HEL"
"CTY1SN0112.FI","Citycon Oyj New shares 2012","Unknown","HEL"
"CTY1SN0113.FI","Citycon Oyj New Shares 2013","Unknown","HEL"
"CTY1SN0114.FI","Citycon Oyj New Shares 2014","Unknown","HEL"
"CTY1SN0115.FI","Citycon Oyj New Shares 2015","Unknown","HEL"
"DIG1V.FI","Digia Oyj","Unknown","HEL"
"DOV1V.FI","Dovre Group Oyj","Unknown","HEL"
"EFO1V.FI","Efore Oyj","Unknown","HEL"
"ELEAV.FI","Elecster Oyj","Unknown","HEL"
"ELISA.FI","Elisa Oyj","Unknown","HEL"
"EMAETF-NIF.FI","Nordea Global EM Equities UCITS ETF","Unknown","HEL"
"ENDOM.FI","Endomines AB","Unknown","HEL"
"EQV1V.FI","eQ Oyj","Unknown","HEL"
"ERIBR.FI","Ericsson, Telefonab. L M ser. B","Unknown","HEL"
"ETT1V.FI","Etteplan Oyj","Unknown","HEL"
"ETT1VN0116.FI","Etteplan Oyj New Shares 2016","Unknown","HEL"
"EVLI.FI","Evli Pankki Oyj","Unknown","HEL"
"EXL1V.FI","Exel Composites Oyj","Unknown","HEL"
"FIA1S.FI","Finnair Oyj","Unknown","HEL"
"FIS1V.FI","Fiskars Oyj Abp","Unknown","HEL"
"FLG1S.FI","Finnlines Oyj","Unknown","HEL"
"FSC1V.FI","F-Secure Oyj","Unknown","HEL"
"FUM1V.FI","Fortum Oyj","Unknown","HEL"
"GEO1V.FI","GeoSentric Oyj","Unknown","HEL"
"GLA1V.FI","Glaston Oyj Abp","Unknown","HEL"
"HKSAV.FI","HKScan Corporation","Unknown","HEL"
"HONBS.FI","Honkarakenne Oyj","Unknown","HEL"
"HRTIS.FI","Herantis Pharma Oyj","Unknown","HEL"
"HUH1V.FI","Huhtamaki Oyj","Unknown","HEL"
"ICP1V.FI","Incap Oyj","Unknown","HEL"
"ICP1VN0115.FI","Incap Oyj New Shares 2015","Unknown","HEL"
"IFA1V.FI","Innofactor Oyj","Unknown","HEL"
"ILK1S.FI","Ilkka Yhtyma Oyj","Unknown","HEL"
"ILK2S.FI","Ilkka Yhtyma Oyj","Unknown","HEL"
"INA1S.FI","Interavanti Oyj","Unknown","HEL"
"INVEST.FI","Investors House Oyj","Unknown","HEL"
"KCR1V.FI","Konecranes Abp","Unknown","HEL"
"KELAS.FI","Kesla Oyj","Unknown","HEL"
"KEMIRA.FI","Kemira Oyj","Unknown","HEL"
"KESAV.FI","Kesko Oyj","Unknown","HEL"
"KESBV.FI","Kesko Oyj","Unknown","HEL"
"KNEBV.FI","KONE Corporation","Unknown","HEL"
"KSLAV.FI","Keskisuomalainen Oyj","Unknown","HEL"
"LAT1V.FI","Lassila & Tikanoja Oyj","Unknown","HEL"
"LEHTO.FI","Lehto Group Oyj","Unknown","HEL"
"LEM1S.FI","Lemminkainen Oyj","Unknown","HEL"
"LEM1SN0114.FI","Lemminkäinen Oyj New shares 2014","Unknown","HEL"
"MARAS.FI","Martela Oyj","Unknown","HEL"
"MEO1V.FI","Metso Oyj","Unknown","HEL"
"METSA.FI","Metsa Board Oyj","Unknown","HEL"
"METSB.FI","Metsa Board Oyj","Unknown","HEL"
"METSBN0115.FI","Metsä Board Oyj B Uudet 2015","Unknown","HEL"
"MMO1V.FI","Marimekko Oyj","Unknown","HEL"
"MUNK1.FI","Munksjo Oyj","Unknown","HEL"
"NDA1V.FI","Nordea Bank AB","Unknown","HEL"
"NEO1V.FI","Neo Industrial Oyj","Unknown","HEL"
"NESTE.FI","Neste Oyj","Unknown","HEL"
"NLG1V.FI","Nurminen Logistics Oyj","Unknown","HEL"
"NOA1V.FI","Nordic Aluminium Oyj","Unknown","HEL"
"NOK1VM0112.FI","Nokia Corporation New Shares 2012","Unknown","HEL"
"NOK1VM0113.FI","Nokia Corporation New Shares 2013","Unknown","HEL"
"NOK1VM0114.FI","Nokia Corporation New Shares 2014","Unknown","HEL"
"NOKIA.FI","Nokia Corp","Unknown","HEL"
"NOKIAM0115.FI","Nokia Corporation New Shares 2015","Unknown","HEL"
"NOKIAM0116.FI","Nokia Corporation New Shares 2016","Unknown","HEL"
"NORVE.FI","Norvestia Oyj","Unknown","HEL"
"NRE1V.FI","Nokian Tyres plc","Unknown","HEL"
"OKDAV.FI","Oriola KD Oyj","Unknown","HEL"
"OKDAVN0115.FI","Oriola-KD A New Shares 1/15","Unknown","HEL"
"OKDBV.FI","Oriola KD Oyj","Unknown","HEL"
"OKDBVN0115.FI","Oriola-KD B New Shares 1/15","Unknown","HEL"
"OKM1V.FI","Okmetic Oyj","Unknown","HEL"
"OLVAS.FI","Olvi Oyj","Unknown","HEL"
"ORA1V.FI","Oral Hammaslaakarit Oyj","Unknown","HEL"
"OREIT.FI","Orava Asuntorahasto Oyj","Unknown","HEL"
"OREITN0114.FI","Orava Resident Real Estate Inv new 1/14","Unknown","HEL"
"OREITN0115.FI","Orava Asuntorahasto uudet","Unknown","HEL"
"OREITN0116.FI","Orava Asuntorahasto uudet","Unknown","HEL"
"ORNAV.FI","Orion Oyj","Unknown","HEL"
"ORNBV.FI","Orion Oyj","Unknown","HEL"
"OTE1V.FI","Outotec Oyj","Unknown","HEL"
"OUT1V.FI","Outokumpu Oyj","Unknown","HEL"
"OUT1VN0114.FI","Outokumpu Oyj New shares 2014","Unknown","HEL"
"PIHLIS.FI","Pihlajalinna Oyj","Unknown","HEL"
"PIZZA.FI","Kotipizza Group Oyj","Unknown","HEL"
"PKC1V.FI","PKC Group Oyj","Unknown","HEL"
"PKK1V.FI","Pohjois-Karjalan Kirjapaino Oyj","Unknown","HEL"
"PNA1V.FI","Panostaja Oyj","Unknown","HEL"
"POH1S.FI","Pohjola Bank plc","Unknown","HEL"
"PON1V.FI","Ponsse Oyj","Unknown","HEL"
"POY1V.FI","Poyry PLC","Unknown","HEL"
"QPR1V.FI","QPR Software Oyj","Unknown","HEL"
"QTCOM.FI","Qt Group Oyj","Unknown","HEL"
"RAIKV.FI","Raisio Yhtyma Oyj","Unknown","HEL"
"RAIVV.FI","Raisio Yhtyma Oyj","Unknown","HEL"
"RAP1V.FI","Rapala VMC Corp","Unknown","HEL"
"REG1V.FI","Revenio Group Oyj","Unknown","HEL"
"RESTA.FI","Restamax Oyj","Unknown","HEL"
"RMR1V.FI","Ramirent Oyj","Unknown","HEL"
"RTRKS.FI","Rautaruukki Corporation","Unknown","HEL"
"RUTAV.FI","Raute Oyj","Unknown","HEL"
"SAA1V.FI","Sanoma Oyj","Unknown","HEL"
"SAGCV.FI","Saga Furs Oyj","Unknown","HEL"
"SAMAS.FI","Sampo Oyj","Unknown","HEL"
"SCI1V.FI","Sievi Capital Oyj","Unknown","HEL"
