"Code","Symbol","Industry","Board"
"1010.S","Riyad Bank","Unknown","TADAWUL"
"1020.S","Bank Aljazira","Unknown","TADAWUL"
"1030.S","The Saudi Investment Bank","Unknown","TADAWUL"
"1040.S","Saudi Hollandi Bank","Unknown","TADAWUL"
"1050.S","Banque Saudi Fransi","Unknown","TADAWUL"
"1060.S","The Saudi British Bank","Unknown","TADAWUL"
"1080.S","Arab National Bank","Unknown","TADAWUL"
"1090.S","Samba Financial Group","Unknown","TADAWUL"
"1120.S","Al Rajhi Bnkg and Inv Corp SJSC","Unknown","TADAWUL"
"1140.S","Bank Albilad","Unknown","TADAWUL"
"1150.S","Alinma Bank","Unknown","TADAWUL"
"1180.S","National Commercial Bank SJSC","Unknown","TADAWUL"
"1201.S","Takween Advanced Industries JSC","Unknown","TADAWUL"
"1202.S","Middle East Paper Company Saudi Arabia","Unknown","TADAWUL"
"1210.S","Basic Chemical Industries Ltd","Unknown","TADAWUL"
"1211.S","Saudi Arabian Mining Company (Ma'aden)","Unknown","TADAWUL"
"1212.S","Astra Industrial Group","Unknown","TADAWUL"
"1213.S","Al Sorayai Trading & Industrial Group Co","Unknown","TADAWUL"
"1214.S","Al Hassan Ghazi Ibrahim Shaker Co LLC","Unknown","TADAWUL"
"1301.S","United Wire Factories Co JSC","Unknown","TADAWUL"
"1302.S","Bawan Co SJSC","Unknown","TADAWUL"
"1303.S","Electrical Industries Co JSC","Unknown","TADAWUL"
"1304.S","Al Yamamah Steel Industries Co","Unknown","TADAWUL"
"1310.S","Mohammad Al-Mojil Group","Unknown","TADAWUL"
"1320.S","Saudi Steel Pipes Co","Unknown","TADAWUL"
"1330.S","Abdullah A M Al Khodari Sons Co","Unknown","TADAWUL"
"1810.S","Al Tayyar Travel Group SJSC","Unknown","TADAWUL"
"1820.S","Abdulmohsen Al Hokair Gp for T&D Co CJSC","Unknown","TADAWUL"
"2001.S","Methanol Chemicals Co Ltd","Unknown","TADAWUL"
"2002.S","National Petrochemical Co","Unknown","TADAWUL"
"2010.S","Saudi Basic Industries Corporation","Unknown","TADAWUL"
"2020.S","Saudi Arabia Fertilizers Co.","Unknown","TADAWUL"
"2030.S","Saudi Arabia Refineries Company","Unknown","TADAWUL"
"2040.S","Saudi Ceramic Co.","Unknown","TADAWUL"
"2050.S","Savola Group Company","Unknown","TADAWUL"
"2060.S","National Industrialization Company","Unknown","TADAWUL"
"2070.S","Saudi Pharmaceutical Indust&Mdcl Applncs","Unknown","TADAWUL"
"2080.S","National Gas & Industrialization Co.","Unknown","TADAWUL"
"2090.S","National Gypsum Company","Unknown","TADAWUL"
"2100.S","Wafrah for Industry and Development SJSC","Unknown","TADAWUL"
"2110.S","Saudi Cable Co JSC","Unknown","TADAWUL"
"2120.S","Saudi Advanced Industries Company","Unknown","TADAWUL"
"2130.S","Saudi Industrial Development Co.","Unknown","TADAWUL"
"2140.S","Al-Ahsa Development Company","Unknown","TADAWUL"
"2150.S","National Co for Glass Industries","Unknown","TADAWUL"
"2160.S","Saudi Arabian Amiantit Co SJSC","Unknown","TADAWUL"
"2170.S","Alujain Corporation","Unknown","TADAWUL"
"2180.S","Filing & Packing Materials Manufacturing","Unknown","TADAWUL"
"2190.S","Saudi Industrial Services Company","Unknown","TADAWUL"
"2200.S","Arabian Pipes Company","Unknown","TADAWUL"
"2210.S","Nama Chemicals Co.","Unknown","TADAWUL"
"2220.S","National Metal Manufacturing & Casting","Unknown","TADAWUL"
"2230.S","Saudi Chemical Company","Unknown","TADAWUL"
"2240.S","Zamil Industrial Investment Co SJSC","Unknown","TADAWUL"
"2250.S","Saudi Industrial Investment Group","Unknown","TADAWUL"
"2260.S","Sahara Petrochemicals Company","Unknown","TADAWUL"
"2270.S","Saudi Dairy & Foodstuff Company","Unknown","TADAWUL"
"2280.S","Almarai Co","Unknown","TADAWUL"
"2290.S","Yanbu National Petrochemicals Company","Unknown","TADAWUL"
"2300.S","Saudi Paper Manufacturing Co SJSC","Unknown","TADAWUL"
"2310.S","Saudi International Petrochemichal Co.","Unknown","TADAWUL"
"2320.S","Al-Babtain Power & Telecommunication Co.","Unknown","TADAWUL"
"2330.S","Advanced Petrochemical Co Ltd","Unknown","TADAWUL"
"2340.S","Al Abdullatif Industrial Investment Co.","Unknown","TADAWUL"
"2350.S","Saudi Kayan Petrochemical Company","Unknown","TADAWUL"
"2360.S","Saudi Vitrified Clay Pipe Company","Unknown","TADAWUL"
"2370.S","Middle East Specialized Cables Co.","Unknown","TADAWUL"
"2380.S","Rabigh Refining and Petrochemical JSC","Unknown","TADAWUL"
"3001.S","Hail Cement Co","Unknown","TADAWUL"
"3002.S","Najran Cement Co","Unknown","TADAWUL"
"3003.S","City Cement Co","Unknown","TADAWUL"
"3004.S","Northern Region Cement Co","Unknown","TADAWUL"
"3005.S","Umm Al Qura Cement Co SJSC","Unknown","TADAWUL"
"3010.S","Arabian Cement Co.","Unknown","TADAWUL"
"3020.S","Yamama Saudi Cement Company. Ltd.","Unknown","TADAWUL"
"3030.S","Saudi Cement Company","Unknown","TADAWUL"
"3040.S","Qassim Cement Company","Unknown","TADAWUL"
"3050.S","Southern Province Cement Company","Unknown","TADAWUL"
"3060.S","Yanbu Cement Company","Unknown","TADAWUL"
"3080.S","Eastern Province Cement Company","Unknown","TADAWUL"
"3090.S","Tabuk Cement Company","Unknown","TADAWUL"
"3091.S","Al Jouf Cement Co","Unknown","TADAWUL"
"4001.S","Abdullah Al Othaim Markets Co","Unknown","TADAWUL"
"4002.S","Al Mouwasat Medical Services Co","Unknown","TADAWUL"
"4003.S","United Electronics Co","Unknown","TADAWUL"
"4004.S","Dallah Healthcare Holding JSC","Unknown","TADAWUL"
"4005.S","National Medical Care Co","Unknown","TADAWUL"
"4006.S","Saudi Marketing Company CJSC","Unknown","TADAWUL"
"4007.S","Al Hammadi Development and Investment Co","Unknown","TADAWUL"
"4008.S","Saudi Company for Hardware","Unknown","TADAWUL"
"4009.S","Middle East Healthcare Co CJSC","Unknown","TADAWUL"
"4010.S","Dur Hospitality Co SJSC","Unknown","TADAWUL"
"4011.S","Lazurde for Jewelry Co","Unknown","TADAWUL"
"4020.S","Saudi Real Estate Company","Unknown","TADAWUL"
"4030.S","The National Shipping Co. Saudi Arabia","Unknown","TADAWUL"
"4031.S","Saudi Ground Services Co","Unknown","TADAWUL"
"4040.S","Saudi Public Transport Company","Unknown","TADAWUL"
"4050.S","Saudi Automotive Services Company","Unknown","TADAWUL"
"4061.S","Anaam International Holding Group Co.","Unknown","TADAWUL"
"4070.S","Tihama Advertsg&Pbl Rltns&Mrktg Hld SJSC","Unknown","TADAWUL"
"4080.S","Aseer Trading, Tourism & Mfg. Company","Unknown","TADAWUL"
"4090.S","Taiba Holding SJSC","Unknown","TADAWUL"
"4100.S","Makkah Construction & Development Co.","Unknown","TADAWUL"
"4110.S","Saudi Transport and Investment Company","Unknown","TADAWUL"
"4130.S","Al-Baha Investment & Development Co","Unknown","TADAWUL"
"4140.S","Saudi Industrial Export Company","Unknown","TADAWUL"
"4150.S","Arriyadh Development Co","Unknown","TADAWUL"
"4160.S","National Agriculture Marketing Company","Unknown","TADAWUL"
"4170.S","Tourism Enterprise Company (Shams)","Unknown","TADAWUL"
"4180.S","Fitaihi Holding Group","Unknown","TADAWUL"
"4190.S","Jarir Marketing Company","Unknown","TADAWUL"
"4200.S","Aldrees Petroleum &Transport Services","Unknown","TADAWUL"
"4210.S","Saudi Research and Marketing Group SJSC","Unknown","TADAWUL"
"4220.S","Emaar The Economic City","Unknown","TADAWUL"
"4230.S","Red Sea Housing Services Co Ltd","Unknown","TADAWUL"
"4240.S","Fawaz Abdulaziz Al Hokair Company","Unknown","TADAWUL"
"4250.S","Jabal Omar Development Co","Unknown","TADAWUL"
"4260.S","United International Transportation Co.","Unknown","TADAWUL"
"4270.S","Saudi Printing & Packaging Co.","Unknown","TADAWUL"
"4280.S","Kingdom Holding Company","Unknown","TADAWUL"
"4290.S","Al Khaleej Training and Education Co.","Unknown","TADAWUL"
"4300.S","Dar Al Arkan Real Estate Development Co.","Unknown","TADAWUL"
"4310.S","Knowledge Economic City Co","Unknown","TADAWUL"
"4320.S","Al Andalus Property Co SJSC","Unknown","TADAWUL"
"5110.S","Saudi Electricity Company","Unknown","TADAWUL"
