"Code","Symbol","Industry","Board"
"1TM.ZA","1time Holdings Limited","Unknown","JSE"
"ABL.ZA","African Bank Investments Limited","Unknown","JSE"
"ABLP.ZA","African Bank Investments Limited","Unknown","JSE"
"ABSP.ZA","Absa Bank Limited","Unknown","JSE"
"ACE.ZA","Accentuate Ltd","Unknown","JSE"
"ACG.ZA","Anchor Group Ltd","Unknown","JSE"
"ACL.ZA","ArcelorMittal South Africa Limited","Unknown","JSE"
"ACP.ZA","Acucap Properties Ltd.","Unknown","JSE"
"ACS.ZA","Acsion Ltd","Unknown","JSE"
"ACT.ZA","Afrocentric Investment Corporation Ltd.","Unknown","JSE"
"ADH.ZA","Advtech Limited","Unknown","JSE"
"ADI.ZA","Adaptit Holdings Ltd.","Unknown","JSE"
"ADR.ZA","Adcorp Holdings Limited","Unknown","JSE"
"ADW.ZA","African Dawn Capital Limited","Unknown","JSE"
"AEA.ZA","African Eagle Res plc","Unknown","JSE"
"AEE.ZA","African Equity Empowerment Investmts Ltd","Unknown","JSE"
"AEG.ZA","Aveng Limited","Unknown","JSE"
"AEL.ZA","Allied Electronics Corporation Limited","Unknown","JSE"
"AEN.ZA","Allied Electronics Corporation Limited","Unknown","JSE"
"AER.ZA","Amalgamated Electronic Corp.","Unknown","JSE"
"AET.ZA","Alert Steel Holdings Ltd","Unknown","JSE"
"AFE.ZA","AECI Limited","Unknown","JSE"
"AFEP.ZA","AECI Limited","Unknown","JSE"
"AFH.ZA","Alexander Forbes Group Holdings Ltd","Unknown","JSE"
"AFP.ZA","Alexander Forbes Preference Shr Inve Ltd","Unknown","JSE"
"AFR.ZA","Afgri Ltd.","Unknown","JSE"
"AFT.ZA","Afrimat Limited","Unknown","JSE"
"AFX.ZA","African Oxygen Limited","Unknown","JSE"
"AGL.ZA","Anglo American plc (S. Africa)","Unknown","JSE"
"AHL.ZA","AH Vest Ltd","Unknown","JSE"
"AIA.ZA","Ascension Properties Ltd","Unknown","JSE"
"AIB.ZA","Ascension Properties Ltd","Unknown","JSE"
"AIP.ZA","Adcock Ingram Holdings Limited","Unknown","JSE"
"ALH.ZA","Alaris Hloldings Ltd","Unknown","JSE"
"ALM.ZA","Alliance Mining Corporation Limited","Unknown","JSE"
"ALP.ZA","Atlantic Leaf Prop Ltd","Unknown","JSE"
"AME.ZA","African Media Entertainment Ltd.","Unknown","JSE"
"AMS.ZA","Anglo American Platinum Ltd","Unknown","JSE"
"ANA.ZA","Adrenna Property Group Ltd","Unknown","JSE"
"ANB.ZA","Anheuser-Busch InBev SA NV","Unknown","JSE"
"AND.ZA","Andulela Investment Holdings Limited","Unknown","JSE"
"ANG.ZA","AngloGold Ashanti Limited","Unknown","JSE"
"ANP.ZA","Annuity Properties Ltd","Unknown","JSE"
"ANS.ZA","Ansys Limited","Unknown","JSE"
"AON.ZA","African & Overseas Enterprises Limited","Unknown","JSE"
"AOO.ZA","African & Overseas Enterprises Limited","Unknown","JSE"
"AOVP.ZA","African & Overseas Enterprises Limited","Unknown","JSE"
"APF.ZA","Accelerate Property Fund Ltd","Unknown","JSE"
"APK.ZA","Astrapak Limited","Unknown","JSE"
"APKP.ZA","Astrapak Limited Pref","Unknown","JSE"
"APN.ZA","Aspen Pharmacare Holdings Limited","Unknown","JSE"
"AQP.ZA","Aquarius Platinum Limited (JNB)","Unknown","JSE"
"AQPN.ZA","Aquarius Platinum NPL","Unknown","JSE"
