"Code","Symbol","Industry","Board"
"1DIV.TH","THAIDEX SET HIGH DIVIDEND ETF","Unknown","BKK"
"2S.TH","2S Metal PCL","Unknown","BKK"
"A.TH","Areeya Property PCL","Unknown","BKK"
"AAV.TH","Asia Aviation PCL","Unknown","BKK"
"ABC.TH","Asset Bright Public PCL","Unknown","BKK"
"ABFTH.TH","THE ABF THAILAND BOND INDEX FUND","Unknown","BKK"
"ABICO.TH","Abico Holdings PCL","Unknown","BKK"
"ABPIF.TH","Amata BGrimm Power Power Plant Infrastru","Unknown","BKK"
"ACAP.TH","Asia Capital Group PCL","Unknown","BKK"
"ACC.TH","Advanced Connection Corp PCL","Unknown","BKK"
"ADAM.TH","Adamas Incorporation Public Company Ltd.","Unknown","BKK"
"ADVANC.TH","Advanced Info Service PCL","Unknown","BKK"
"AEC.TH","AEC Securities Public Co Ltd","Unknown","BKK"
"AEONTS.TH","Aeon Thana Sinsap (Thailand) PCL","Unknown","BKK"
"AF.TH","Aira Factoring PCL","Unknown","BKK"
"AFC.TH","Asia Fiber Public Co Ltd","Unknown","BKK"
"AGE.TH","Asia Green Energy PCL","Unknown","BKK"
"AH.TH","AAPICO Hitech Public Company Limited","Unknown","BKK"
"AH-R.TH","AAPICO Hitech Public Company Limited","Unknown","BKK"
"AHC.TH","Aikchol Hospital Public Company Limited","Unknown","BKK"
"AI.TH","Asian Insulators PCL","Unknown","BKK"
"AIE.TH","AI Energy PCL","Unknown","BKK"
"AIRA.TH","Aira Capital PCL","Unknown","BKK"
"AIT.TH","Advanced Information Technology PCL","Unknown","BKK"
"AJ.TH","A.J. Plast Public Company Limited","Unknown","BKK"
"AJD.TH","Crown Tech Advance PCL","Unknown","BKK"
"AKP.TH","Akkhie Prakarn PCL","Unknown","BKK"
"AKR.TH","Ekarat Engineering PCL","Unknown","BKK"
"ALT.TH","ALT Telecom PCL","Unknown","BKK"
"ALUCON.TH","Alucon PCL","Unknown","BKK"
"AMANAH.TH","Amanah Leasing Public Company Limited","Unknown","BKK"
"AMARIN.TH","Amarin Printing and Publishing PCL","Unknown","BKK"
"AMATA.TH","Amata Corporation PCL","Unknown","BKK"
"AMATAR.TH","Amata Summit Growth Freehold&Leshld REIT","Unknown","BKK"
"AMATAV.TH","Amata VN PCL","Unknown","BKK"
"AMC.TH","Asia Metal Public Co., Ltd.","Unknown","BKK"
"ANAN.TH","Ananda Development PCL","Unknown","BKK"
"AOT.TH","Airports of Thailand PCL","Unknown","BKK"
"AP.TH","AP Thailand Public Co Ltd","Unknown","BKK"
"APCO.TH","Asian Phytoceuticals PCL","Unknown","BKK"
"APCS.TH","Asia Precision PCL","Unknown","BKK"
"APURE.TH","Agripure Holdings Public Company Limited","Unknown","BKK"
"APX.TH","Apex Development Public Company Limited","Unknown","BKK"
"AQ.TH","AQ Estate PCL","Unknown","BKK"
"AQUA.TH","Aqua Corporation PCL","Unknown","BKK"
"ARIP.TH","ARIP PCL","Unknown","BKK"
"ARROW.TH","Arrow Syndicate PCL","Unknown","BKK"
"AS.TH","Asiasoft Corporation Plc","Unknown","BKK"
"ASCON.TH","Ascon Construction PCL","Unknown","BKK"
"ASEFA.TH","Asefa PCL","Unknown","BKK"
"ASIA.TH","Asia Hotel Public Company Limited","Unknown","BKK"
"ASIAN.TH","Asian Seafood Coldstorage PCL","Unknown","BKK"
"ASIMAR.TH","Asian Marine Services Public Co. Ltd.","Unknown","BKK"
"ASK.TH","Asia Sermkij Leasing PCL","Unknown","BKK"
"ASN.TH","Asn Broker PCL","Unknown","BKK"
"ASP.TH","Asia Plus Group Holdings PCL","Unknown","BKK"
"ATP30.TH","ATP30 PCL","Unknown","BKK"
"AUCT.TH","Union Auction PCL","Unknown","BKK"
"AYUD.TH","Sri Ayudhya Capital PCL","Unknown","BKK"
"BA.TH","Bangkok Airways PCL","Unknown","BKK"
"BAFS.TH","Bangkok Aviation Fuel Services Public Co","Unknown","BKK"
"BANPU.TH","Banpu Public Company Limited","Unknown","BKK"
"BAT-3K.TH","Thai Storage Battery PCL","Unknown","BKK"
"BAY.TH","Bank of Ayudhya PCL","Unknown","BKK"
"BBL.TH","Bangkok Bank PCL","Unknown","BKK"
"BCH.TH","Bangkok Chain Hospital Public Co. Ltd.","Unknown","BKK"
"BCHAY.TH","BUALUANG CHAY GOLD ETF","Unknown","BKK"
"BCP.TH","The Bangchak Petroleum Public Co. Ltd.","Unknown","BKK"
"BDMS.TH","Bangkok Dusit Medical Services PCL","Unknown","BKK"
"BEAUTY.TH","Beauty Community PCL","Unknown","BKK"
"BEC.TH","BEC World Public Company Limited","Unknown","BKK"
"BECL.TH","Bangkok Expressway PCL","Unknown","BKK"
"BEM.TH","Bangkok Expressway and Metro PCL","Unknown","BKK"
"BFIT.TH","Bangkok First Investment & Trust PCL","Unknown","BKK"
"BGT.TH","BGT Corporation PCL","Unknown","BKK"
"BH.TH","Bumrungrad Hospital Public Co Ltd","Unknown","BKK"
"BH-P.TH","Bumrungrad Hospital Public Co Ltd","Unknown","BKK"
"BIG.TH","BIG CAMERA CORPORATION PUBLIC COMPANY","Unknown","BKK"
"BIGC.TH","Big C Supercenter Public Company Limited","Unknown","BKK"
"BIGC-R.TH","Big C Supercenter Public Company Limited","Unknown","BKK"
"BIZ.TH","Business Alignment PCL","Unknown","BKK"
"BJC.TH","Berli Jucker Public Company Limited","Unknown","BKK"
