"Code","Symbol","Industry","Board"
"AA.AR","ALCOA INC CEDEAR EACH 6 REP 1 USD1","Unknown","BCBA"
"AAPL.AR","APPLE INC CEDEAR(REPR 1/10 SHR)","Unknown","BCBA"
"ABT.AR","ABBOTT LABS CEDEAR EACH REP 1/2 ORD NPV","Unknown","BCBA"
"ABX.AR","BARRICK GOLD CORP CEDEAR EACH REP 1 COM NPV","Unknown","BCBA"
"ACH.AR","ALUMINUM CORP CHN CEDEAR EACH REP 0.2 ADR","Unknown","BCBA"
"ADI.AR","ANALOG DEVICES INC CEDEAR EACH 3 REP 1 USD0.16","Unknown","BCBA"
"ADTE.AR","Telefonica Data Argentina SA","Unknown","BCBA"
"AEM.AR","AGNICO EAGLE MINES CEDEAR EACH REP 1/3 COM NPV","Unknown","BCBA"
"AEN.AR","ANDES ENERGIA PLC ORD GBP0.10","Unknown","BCBA"
"AGRO.AR","Agrometal SAI","Unknown","BCBA"
"AIG.AR","AMER INTL GRP CEDEAR EACH 5 REPR 1 ORD US","Unknown","BCBA"
"ALPA.AR","Alpargatas SAIC","Unknown","BCBA"
"ALUA.AR","Aluar Aluminio Argentino S.A.I.C.","Unknown","BCBA"
"AMGN.AR","AMGEN INC CEDEAR EACH 5 REPR 1","Unknown","BCBA"
"AMX.AR","AMERICA MOVIL SAB CEDEAR EACH REP 1 ADR(REP 2","Unknown","BCBA"
"APBR.AR","PETROL BRASILEIROS COM NPV","Unknown","BCBA"
"APBRA.AR","PETROL BRASILEIROS PRF NPV","Unknown","BCBA"
"AUSO.AR","Autopistas del Sol SA","Unknown","BCBA"
"AUY.AR","YAMANA GOLD INC CEDEAR EACH REP 1 SHS","Unknown","BCBA"
"AVP.AR","AVON PRODUCTS INC CEDEAR EACH 1 REP 1 USD0.25","Unknown","BCBA"
"AVY.AR","AVERY DENNISON CP CEDEAR EACH 3 REP 1 USD1","Unknown","BCBA"
"AXP.AR","AMER EXPRESS CO CEDEAR REP 1/10 ORD USD0.2","Unknown","BCBA"
"AZN.AR","ASTRAZENECA CEDEAR EACH REP 0.5 ADR USD","Unknown","BCBA"
"BA.AR","BOEING CO CEDEAR (3 REP 1 USD5)","Unknown","BCBA"
"BA.C.AR","BK OF AMERICA CORP CEDEAR REP 1/2 COM USD0.01","Unknown","BCBA"
"BAYN.AR","BAYER AG CEDEAR EACH REP 1 ADR NPV","Unknown","BCBA"
"BBD.AR","BCO BRADESCO SA CEDEAR EACH REP 1 PRF ADR","Unknown","BCBA"
"BBRY.AR","BLACKBERRY LTD CEDEAR(REPR 1/3 SHR)","Unknown","BCBA"
"BBV.AR","BBVA(BILB-VIZ-ARG) CEDEAR EACH REPR 1 ADS","Unknown","BCBA"
"BCS.AR","BARCLAYS PLC CEDEAR EACH 6 REPR 1 ADR","Unknown","BCBA"
"BHIP.AR","Banco Hipotecario SA","Unknown","BCBA"
"BHP.AR","BHP BILLITON LTD CEDEAR REP 1 ADR(REP 2 ORD","Unknown","BCBA"
"BK.AR","BK OF NY MELLON CP CEDEAR EACH REP 0.5 USD0.01","Unknown","BCBA"
"BMA.AR","Banco Macro SA","Unknown","BCBA"
"BMA.5.AR","Banco Macro SA","Unknown","BCBA"
"BMY.AR","BRISTOL-MYRS SQUIB CEDEAR REP 1 COM USD0.10","Unknown","BCBA"
"BNG.AR","BUNGE LIMITED CEDEAR EACH REP 5 COM","Unknown","BCBA"
"BOLT.AR","Boldt S.A.","Unknown","BCBA"
"BP.AR","BP CEDEAR EACH REPR 1/5 ADR(AR","Unknown","BCBA"
"BPAT.AR","Banco Patagonia SA","Unknown","BCBA"
"BRIO.AR","Banco Santander Rio SA","Unknown","BCBA"
"BRIO5.AR","Banco Santander Rio SA","Unknown","BCBA"
"BRIO6.AR","BANC SANTANDER RIO NON VTG PRF SHS ARS1","Unknown","BCBA"
"BSBR.AR","BANCO SANTANDER(BR CEDEAR EACH REP 1 ADR NPV","Unknown","BCBA"
"BSN.AR","DANONE CEDEAR EACH REP 0.05 ADR","Unknown","BCBA"
"BSUQ.AR","Nuevo Banco Suquia SA","Unknown","BCBA"
"BT.AR","BT GROUP CEDEAR EACH REPR 1/8 ADR","Unknown","BCBA"
"C.AR","CITIGROUP INC CEDEAR EACH REP 0.01 COM","Unknown","BCBA"
"CADO.AR","Carlos Casado SA","Unknown","BCBA"
"CADO5.AR","Carlos Casado SA","Unknown","BCBA"
"CAPU.AR","Caputo SAIC y F","Unknown","BCBA"
"CAPX.AR","Capex SA","Unknown","BCBA"
"CARC.AR","Carboclor Sociedad Anonima","Unknown","BCBA"
"CAT.AR","CATERPILLAR INC CEDEAR ECH REP 1/5 COM USD1","Unknown","BCBA"
"CDE.AR","COEUR MINING INC CEDEAR EA REP 1 COM STK1","Unknown","BCBA"
"CECO2.AR","Endesa Costanera SA","Unknown","BCBA"
"CELU.AR","Celulosa Argentina Sociedad Anonima","Unknown","BCBA"
"CEO.AR","CNOOC LTD EACH CEDEAR REP 0.25 ADR","Unknown","BCBA"
"CEPU.AR","Central Puerto SA","Unknown","BCBA"
"CGPA1.AR","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CGPA2.AR","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CGPA3.AR","Camuzzi Gas Pampeana Inc","Unknown","BCBA"
"CHA.AR","CHINA TELECOM CORP EACH CEDEAR REP 0.5 ADR","Unknown","BCBA"
"CHAS.AR","Compania Hotelera Argentina S.A.","Unknown","BCBA"
"CHL.AR","CHINA MOBILE LTD CEDEAR EACH 6 REP 1 ADR","Unknown","BCBA"
"CITI.AR","Telefonica Holding de Argentina S.A.","Unknown","BCBA"
"CITI5.AR","Telefonica Holding de Argentina S.A.","Unknown","BCBA"
"CMCS.AR","COMCAST CORP CEDEAR EACH REPR 1 'A'SPL C","Unknown","BCBA"
"COLO.AR","Colorin Industria de Materiales Sintetic","Unknown","BCBA"
"COME.AR","SOC COM DEL PLATA ARS10","Unknown","BCBA"
"COMO.AR","Cia. Argentina de Comodoro Rivadavia","Unknown","BCBA"
"COUR.AR","Continental Urbana S.A.I.","Unknown","BCBA"
"CRES.AR","Cresud S.A.C.I.F. y A.","Unknown","BCBA"
"CS.AR","CREDIT SUISSE GP CEDEAR EACH REP 1 ADR","Unknown","BCBA"
"CSCO.AR","CISCO SYSTEMS CEDEARS ECH 5 REP 1 COM NPV","Unknown","BCBA"
"CTIO.AR","Consultatio SA","Unknown","BCBA"
"CVX.AR","CHEVRON CORP CEDEAR EACH 8 REP 1 USD0.75","Unknown","BCBA"
"CVZA.AR","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CVZA5.AR","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CX.AR","CEMEX SAB DE CV CEDEAR EACH REPR 1 ADR","Unknown","BCBA"
"DAI.AR","DAIMLER AG CEDEAR EACH 4 REP 1 ORD","Unknown","BCBA"
"DD.AR","DU PONT DE NEMOURS CEDEAR REP 1/5 COM USD0.30","Unknown","BCBA"
