"Code","Symbol","Industry","Board"
"AAA.AX","Betashares Australian High Interest Cash Etf","Unknown","ASX"
"AAC.AX","Australian Agricultural Company Ltd","Unknown","ASX"
"AAD.AX","Ardent Leisure Group","Unknown","ASX"
"AAE.AX","Australian Ethanol Ltd","Unknown","ASX"
"AAI.AX","Alcoa Inc (USA CUFS)","Unknown","ASX"
"AAJ.AX","Aruma Resources Limited","Unknown","ASX"
"AAK.AX","AAK","Unknown","ASX"
"AAKO.AX","Australia China Holdings Limited","Unknown","ASX"
"AAL.AX","Apac Coal Ltd","Unknown","ASX"
"AAO.AX","Australasia Gold Ltd","Unknown","ASX"
"AAQ.AX","Australis Aquaculture Ltd","Unknown","ASX"
"AAR.AX","Anglo Australian Resources NL","Unknown","ASX"
"AAS.AX","Asian Pacific Ltd","Unknown","ASX"
"AAT.AX","Autron Corporation Ltd","Unknown","ASX"
"AAU.AX","Adcorp Australia Ltd","Unknown","ASX"
"AAX.AX","Ausenco Ltd","Unknown","ASX"
"AAY.AX","Aacl Holdings Limited","Unknown","ASX"
"AAZPB.AX","AAZ","Unknown","ASX"
"ABC.AX","Adelaide Brighton Ltd","Unknown","ASX"
"ABCKOB.AX","Adelaide Brighton Limited","Unknown","ASX"
"ABN.AX","Adeffective Limited","Unknown","ASX"
"ABNO.AX","Adeffective Limited","Unknown","ASX"
"ABP.AX","Abacus Property Group","Unknown","ASX"
"ABQ.AX","Allied Brands Ltd","Unknown","ASX"
"ABU.AX","ABM Resources NL","Unknown","ASX"
"ABV.AX","Advanced Braking Technology Ltd","Unknown","ASX"
"ABW.AX","Aurora Buy Write Income Trust","Unknown","ASX"
"ABY.AX","Aditya Birla Minerals Ltd","Unknown","ASX"
"ABZ.AX","Australian Bauxite Limited","Unknown","ASX"
"ACB.AX","A-Cap Resources Ltd","Unknown","ASX"
"ACE.AX","Advanced Engine Components Ltd","Unknown","ASX"
"ACG.AX","Atcor Medical Holdings Ltd","Unknown","ASX"
"ACK.AX","Austock Group Ltd","Unknown","ASX"
"ACL.AX","Alchemia Ltd","Unknown","ASX"
"ACN.AX","Acer Energy Limited","Unknown","ASX"
"ACP.AX","Audalia Resources Limited","Unknown","ASX"
"ACPO.AX","Audalia Resources Limited","Unknown","ASX"
"ACR.AX","Acrux Ltd","Unknown","ASX"
"ACRKMP.AX","Acrux Limited","Unknown","ASX"
"ACRKOB.AX","Acrux Limited","Unknown","ASX"
"ACS.AX","Accent Resources NL","Unknown","ASX"
"ACU.AX","Avantogen Ltd","Unknown","ASX"
"ACW.AX","Actinogen Ltd","Unknown","ASX"
"ACWOA.AX","Actinogen Limited","Unknown","ASX"
"ADA.AX","Adacel Technologies Ltd","Unknown","ASX"
"ADD.AX","Adavale Resources Ltd","Unknown","ASX"
"ADN.AX","Adelaide Resources Ltd","Unknown","ASX"
"ADO.AX","Anteo Diagnostics Ltd","Unknown","ASX"
"ADQ.AX","ADG Global Supply Ltd","Unknown","ASX"
"ADX.AX","Audax Resources Ltd","Unknown","ASX"
"ADY.AX","Admiralty Resources NL","Unknown","ASX"
"AEB.AX","Algae.tec Limited","Unknown","ASX"
"AEBO.AX","Algae.tec Limited","Unknown","ASX"
"AED.AX","AED Oil Ltd","Unknown","ASX"
"AEE.AX","Aura Energy Ltd","Unknown","ASX"
"AEEO.AX","AEEO","Unknown","ASX"
"AEF.AX","Australian Ethical Investments Ltd","Unknown","ASX"
"AEI.AX","Aeris Technologies Ltd","Unknown","ASX"
"AEJ.AX","Alinta Energy Group","Unknown","ASX"
"AEK.AX","Anatolia Energy Limited","Unknown","ASX"
"AEM.AX","Artist & Entertainment Group Ltd","Unknown","ASX"
"AES.AX","Advanced Energy Systems Ltd","Unknown","ASX"
"AEU.AX","Australian Education Trust","Unknown","ASX"
"AEZ.AX","APN UKA European Retail Trust","Unknown","ASX"
"AFA.AX","ASF Group Ltd","Unknown","ASX"
"AFI.AX","Australian Foundation Invest Ltd","Unknown","ASX"
"AFIG.AX","Australian Foundation Investment Company Limited","Unknown","ASX"
"AFR.AX","African Energy Resources (Guernsey) Ltd","Unknown","ASX"
"AFT.AX","AFT Corporation Ltd","Unknown","ASX"
"AFV.AX","Aurora Funds Limited","Unknown","ASX"
"AGD.AX","Austral Gold Ltd","Unknown","ASX"
"AGE.AX","Alligator Energy Limited","Unknown","ASX"
"AGF.AX","AMP Capital China Growth Fund","Unknown","ASX"
"AGG.AX","Anglogold Ashanti Ltd (Sth Afr CUFS)","Unknown","ASX"
"AGI.AX","Ainsworth Game Technology Ltd","Unknown","ASX"
"AGJ.AX","Agricultural Land Trust","Unknown","ASX"
"AGK.AX","AGL Energy","Unknown","ASX"
"AGKHA.AX","Agl Energy Limited","Unknown","ASX"
"AGKKMA.AX","Agl Energy Limited","Unknown","ASX"
"AGKKMP.AX","Agl Energy Limited","Unknown","ASX"
"AGKKOB.AX","Agl Energy Limited","Unknown","ASX"
"AGKKOC.AX","Agl Energy Limited","Unknown","ASX"
"AGKKOP.AX","Agl Energy Limited","Unknown","ASX"
"AGKKOZ.AX","Agl Energy Limited","Unknown","ASX"
