"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000001.SZ,"深发展","深圳发展银行股份有限公司","SHENZHEN DEVELOPMENT BANK CO.,LTD","广东省深圳市深南东路5047号深圳发展银行大厦",1,"深发展Ａ",04/03/91,3105433762,3102459441,,,,0,0,"华南","广东","深圳市","I 金融保险","www.sdb.com.cn"
000002.SZ,"万科","万科企业股份有限公司","CHINA VANKE CO., LTD","广东省深圳市盐田区大梅沙环梅路33号万科中心",2,"万 科Ａ",01/29/91,9680254750,9652361705,200002,"万 科Ｂ",05/28/93,1314955468,1314955468,"华南","广东","深圳市","J 房地产业","www.vanke.com"
000004.SZ,"国农科技","深圳中国农大科技股份有限公司","SHENZHEN CAU TECHNOLOGY CO., LTD","广东省深圳市福田区商报路奥林匹克大厦6层D-E室",4,"ST国农",12/01/90,83976684,70248969,,,,0,0,"华南","广东","深圳市","F 运输仓储","www.cau-tech.com"
000005.SZ,"世纪星源","深圳世纪星源股份有限公司","SHENZHEN FOUNTAIN CORPORATION","广东省深圳市人民南路发展中心大厦13层",5,"世纪星源",12/10/90,914333607,912315959,,,,0,0,"华南","广东","深圳市","M 综合类","www.fountain.com.cn"
000006.SZ,"深振业","深圳市振业(集团)股份有限公司","SHENZHEN ZHENYE(GROUP) CO.,LTD","深圳市罗湖区宝安南路2014号振业大厦B座11-17层",6,"深振业Ａ",04/27/92,760774893,740176374,,,,0,0,"华南","广东","深圳市","J 房地产业","www.zhenye.com"
000007.SZ,"深零七","深圳市零七股份有限公司","SHENZHEN Zero-Seven CO., LTD","深圳市华强北路1058 号现代之窗大厦A 座25 层",7,"ST零七",04/13/92,184965363,184776701,,,,0,0,"华南","广东","深圳市","K 社会服务",
000008.SZ,"宝利来","广东宝利来投资股份有限公司","BAOLILAI INVESTMENT CO.，LTD. GUANGDONG","广东省深圳市南山区内环路5号锦兴工业小区管理楼二楼",8,"ST宝利来",05/07/92,73653208,51662381,,,,0,0,"华南","广东","深圳市","G 信息技术",
000009.SZ,"中国宝安","中国宝安集团股份有限公司","CHINA BAOAN GROUP CO.,LTD","深圳市笋岗东路宝安广场A座二十八、二十九层",9,"中国宝安",06/25/91,1090750529,1070665114,,,,0,0,"华南","广东","深圳市","M 综合类","www.chinabaoan.com"
000010.SZ,"深华新","北京深华新股份有限公司","SHENZHEN HUAXIN CO., LTD","北京市延庆县百泉街10号2栋349室",10,"S ST华新",10/27/95,147017448,67599944,,,,0,0,"华北","北京","北京市","H 批发零售",
000011.SZ,"深物业","深圳市物业发展(集团)股份有限公司","SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD","广东省深圳市人民南路国贸大厦39、42层",11,"深物业A",03/30/92,528373849,139706036,200011,"深物业B",03/30/92,67605243,67601201,"华南","广东","深圳市","M 综合类","www.szwuye.com.cn"
