"Code","Symbol","Industry","Board"
"GXH1.BE","BLACKHAWK FD","Unknown","Berlin"
"DTE.DE","Deutsche Telekom AG","Unknown","Xetra"
"IFX.DE","Infineon Technologies AG","Unknown","Xetra"
"CBK.DE","Commerzbank AG","Unknown","Xetra"
"EOAN.DE","E.ON N","Unknown","Xetra"
"DBK.DE","Deutsche Bank AG","Unknown","Xetra"
"DAI.DE","Daimler AG","Unknown","Xetra"
"DPW.DE","Deutsche Post AG","Unknown","Xetra"
"SAP.DE","SAP AG","Unknown","Xetra"
"5AP.F","ASIAPAC CAP SVCS","Unknown","Frankfurt"
"BAS.DE","BASF N","Unknown","Xetra"
"BAYN.DE","BAYER N","Unknown","Xetra"
"SIE.DE","Siemens AG","Unknown","Xetra"
"LHA.DE","Lufthansa AG","Unknown","Xetra"
"TKA.DE","ThyssenKrupp AG","Unknown","Xetra"
"BMW.DE","BMW AG","Unknown","Xetra"
"PJ3B.SG","PTS","Unknown","Stuttgart"
"CGY.DE","Conergy AG","Unknown","Xetra"
"SKYD.DE","SKY DEUTSCHLAND N","Unknown","Xetra"
"56N.F","LOVE & PLAY","Unknown","Frankfurt"
"ALV.DE","Allianz SE","Unknown","Xetra"
"RWE.DE","RWE AG","Unknown","Xetra"
"HORA.DE","MOTION NETWORK HLDG","Unknown","Xetra"
"ARO.DE","Arcandor AG","Unknown","Xetra"
"AIXA.DE","AIXTRON N","Unknown","Xetra"
"PJ3B.F","PTS","Unknown","Frankfurt"
"GHU.F","ADX ENERGY","Unknown","Frankfurt"
"SDF.DE","K+S AG","Unknown","Xetra"
"NOA3.DE","Nokia Oyj","Unknown","Xetra"
"TUI1.DE","TUI AG","Unknown","Xetra"
"HEI.DE","Heidelbergcement AG","Unknown","Xetra"
"T5V1.F","ZEVOTEK","Unknown","Frankfurt"
"OOV.F","OOOUT COM","Unknown","Frankfurt"
"SA1.F","SOMA PETROLEUM","Unknown","Frankfurt"
"DB1.DE","Deutsche Boerse AG","Unknown","Xetra"
"ADS.DE","Adidas AG","Unknown","Xetra"
"MEO.DE","Metro AG","Unknown","Xetra"
"SWV.DE","Solarworld AG","Unknown","Xetra"
"O5Y.F","PLATINA ENERGY GRP","Unknown","Frankfurt"
"YBB.F","CARNAVALE RES","Unknown","Frankfurt"
"FUN.DE","SOLARMAG","Unknown","Xetra"
"FME.DE","Fresenius Medical Care AG & Co. KGaA","Unknown","Xetra"
"EUG.F","EUROGAS","Unknown","Frankfurt"
"KCO.DE","Kloeckner & Co. S.E.","Unknown","Xetra"
"GFJ.DE","Gagfah SA","Unknown","Xetra"
"H9T.SG","HI HO SILVER","Unknown","Stuttgart"
"LKC.F","LONDON HONG KONG EX","Unknown","Frankfurt"
"G1A.DE","GEA Group AG","Unknown","Xetra"
"FNTN.DE","FREENET N","Unknown","Xetra"
"TZS.SG","CHINA NUVO SOLR","Unknown","Stuttgart"
"ERP.F","EARTHFIRST TECH","Unknown","Frankfurt"
"DLG.DE","Dialog Semiconductor","Unknown","Xetra"
"3IV.F","INDENTURE INVTS","Unknown","Frankfurt"
"QCE.DE","Q-Cells S.E.","Unknown","Xetra"
"MAN.DE","Man SE","Unknown","Xetra"
"MUV2.DE","Muenchener Rueck","Unknown","Xetra"
"PSM.DE","ProSiebenSat.1 Media AG","Unknown","Xetra"
"UTDI.DE","United Internet AG","Unknown","Xetra"
"LXS.DE","Lanxess AG","Unknown","Xetra"
"FUN.F","SOLARMAG","Unknown","Frankfurt"
"56N.SG","LOVE & PLAY","Unknown","Stuttgart"
"HDD.DE","Heidelberger Druck","Unknown","Xetra"
"CLS1.DE","Celesio AG","Unknown","Xetra"
"IG9B.BE","INVICTA GROUP","Unknown","Berlin"
"PRA.DE","Praktiker Bau-Und Heimwerkermaerkte Hold","Unknown","Xetra"
"IQPB.F","IQ Power AG","Unknown","Frankfurt"
"SY1.DE","Symrise AG","Unknown","Xetra"
"BEI.DE","Beiersdorf AG","Unknown","Xetra"
"LIN.DE","Linde AG","Unknown","Xetra"
"A3MA.F","AVALON OIL","Unknown","Frankfurt"
"CQX.F","CFQ HLDG","Unknown","Frankfurt"
"BN4.F","BEST INVT CO","Unknown","Frankfurt"
"GPU.DE","GOLDEN PATRIOT","Unknown","Xetra"
"MRK.DE","Merck KGaA","Unknown","Xetra"
"DPB.DE","Deutsche Postbank AG","Unknown","Xetra"
"RHK.DE","Rhoen Klinikum","Unknown","Xetra"
"IVG.DE","IVG Immobilien AG","Unknown","Xetra"
"WDI.DE","Wirecard AG","Unknown","Xetra"
"UAI.F","URANIO","Unknown","Frankfurt"
"BTN.F","Biophan Technologies Inc","Unknown","Frankfurt"
"CON.DE","Continental AG","Unknown","Xetra"
"RH8.F","TIGER RESOURCES","Unknown","Frankfurt"
"PVPB.F","PROSERV CAP","Unknown","Frankfurt"
"SAZ.DE","STADA Arzneimittel AG","Unknown","Xetra"
"S1N.F","Sunwin International Neutraceuticals Inc","Unknown","Frankfurt"
"T5V1.BE","ZEVOTEK","Unknown","Berlin"
"PAH3.DE","PORSCHE AUTOHLDG VZ","Unknown","Xetra"
"3VZ.F","FILMCONFECT","Unknown","Frankfurt"
"TGM.DE","TOGNUM","Unknown","Xetra"
"CH9.SG","CHINA SHOE HLDG","Unknown","Stuttgart"
"HOT.DE","Hochtief AG","Unknown","Xetra"
"GBF.DE","Bilfinger & Berger AG","Unknown","Xetra"
"SZU.DE","Suedzucker AG","Unknown","Xetra"
"X5R.F","XINHUA CHINA","Unknown","Frankfurt"
"3FL.F","CLEAR SKIES SLR","Unknown","Frankfurt"
"TUD.F","TURBODYNE TECH","Unknown","Frankfurt"
"KBC.DE","Kontron AG","Unknown","Xetra"
"SGL.DE","SGL Carbon SE","Unknown","Xetra"
"HORA.SG","MOTION NETWORK HLDG","Unknown","Stuttgart"
"SZG.DE","Salzgitter AG","Unknown","Xetra"
"LEO.DE","Leoni AG","Unknown","Xetra"
"TZS.F","CHINA NUVO SOLR","Unknown","Frankfurt"
"4IB.SG","IBMC CHINA AG","Unknown","Stuttgart"
"GIL.DE","Gildemeister AG","Unknown","Xetra"
"EVT.DE","Evotec AG","Unknown","Xetra"
"SJK.DE","SYSTAIC","Unknown","Xetra"
"O5Y.SG","PLATINA ENERGY GRP","Unknown","Stuttgart"
"31C.F","CIC MINING RESOURCE","Unknown","Frankfurt"
"JASM.F","JASMINE INTL -F-","Unknown","Frankfurt"
"PFD4.DE","Pfleiderer AG","Unknown","Xetra"
"MTX.DE","MTU Aero Engines Holdings AG","Unknown","Xetra"
"G7F.F","SECUREALERT","Unknown","Frankfurt"
"HNR1.DE","Hannover Rueck","Unknown","Xetra"
"UTX1.DE","UNITED ENERGY G-CT","Unknown","Xetra"
"S57.BE","SOUTH TEXAS OIL","Unknown","Berlin"
"BSY.DE","Boewe Systec AG","Unknown","Xetra"
"SNG.DE","Singulus Technologies AG","Unknown","Xetra"
"NDA.DE","Aurubis AG","Unknown","Xetra"
"M20.F","AMERICAN MED TCH","Unknown","Frankfurt"
"ECQ.F","PHARMAUST","Unknown","Frankfurt"
"CIX.F","SPIRIT ON MEDIA GRP","Unknown","Frankfurt"
"WFE.F","MAXX INTL","Unknown","Frankfurt"
"NG6.F","YUKON-NEVADA GOLD","Unknown","Frankfurt"
"KEH.MU","CHINESE PEOPLE HLDG","Unknown","Munich"
"4T5.F","TUNC HLDG","Unknown","Frankfurt"
"DRI.DE","Drillisch AG","Unknown","Xetra"
"BAF.DE","Balda AG","Unknown","Xetra"
"QSC.DE","QSC AG","Unknown","Xetra"
