"Code","Symbol","Industry","Board"
"0001.HK","Cheung Kong (Holdings) Ltd","Unknown","HKSE"
"0002.HK","CLP Holdings Ltd","Unknown","HKSE"
"0003.HK","Hong Kong and China Gas Co. Ltd","Unknown","HKSE"
"0004.HK","Wharf (Holdings) Ltd","Unknown","HKSE"
"0005.HK","HSBC Holdings plc","Unknown","HKSE"
"0006.HK","Power Asset Holdings","Unknown","HKSE"
"0008.HK","PCCW Ltd","Unknown","HKSE"
"0010.HK","Hang Lung Group Ltd","Unknown","HKSE"
"0011.HK","Hang Seng Bank Ltd","Unknown","HKSE"
"0012.HK","Henderson Land Development Co. Ltd","Unknown","HKSE"
"0013.HK","Hutchison Whampoa Ltd","Unknown","HKSE"
"0014.HK","Hysan Development Co. Ltd","Unknown","HKSE"
"0015.HK","Vantage International (Holdings) Ltd","Unknown","HKSE"
"0016.HK","Sun Hung Kai Properties Ltd","Unknown","HKSE"
"0017.HK","New World Development Co. Ltd","Unknown","HKSE"
"0018.HK","Oriental Press Group Ltd","Unknown","HKSE"
"0019.HK","Swire Pacific Ltd 'A'","Unknown","HKSE"
"0020.HK","Wheelock and Co. Ltd","Unknown","HKSE"
"0021.HK","Beauforte Investors Corporation Ltd","Unknown","HKSE"
"0022.HK","Mexan Ltd","Unknown","HKSE"
"0023.HK","Bank of East Asia Ltd","Unknown","HKSE"
"0024.HK","Burwill Holdings Ltd","Unknown","HKSE"
"0025.HK","Chevalier International Holdings Ltd","Unknown","HKSE"
"0026.HK","China Motor Bus Co. Ltd","Unknown","HKSE"
"0027.HK","Galaxy Entertainment Group Ltd","Unknown","HKSE"
"0028.HK","Tian An China Investments Co. Ltd","Unknown","HKSE"
"0029.HK","Dynamic Holdings Ltd","Unknown","HKSE"
"0031.HK","China Aerospace International Holdings Ltd","Unknown","HKSE"
"0032.HK","Cross-Harbour (Holdings) Ltd","Unknown","HKSE"
"0033.HK","Elec & Eltek International Holdings Ltd","Unknown","HKSE"
"0034.HK","Kowloon Development Co. Ltd","Unknown","HKSE"
"0035.HK","Far East Consortium International Ltd","Unknown","HKSE"
"0037.HK","Far East Hotels & Entertainment Ltd","Unknown","HKSE"
"0038.HK","First Tractor Co Ltd","Unknown","HKSE"
"0039.HK","Wealthmark International (Holdings) Ltd","Unknown","HKSE"
"0040.HK","Gold Peak Industries (Holdings) Ltd","Unknown","HKSE"
"0041.HK","Great Eagle Holdings Ltd","Unknown","HKSE"
"0042.HK","Northeast Electric Development Co. Ltd","Unknown","HKSE"
"0043.HK","C. P. Pokphand Co. Ltd","Unknown","HKSE"
"0044.HK","HAECO","Unknown","HKSE"
"0045.HK","Hongkong and Shanghai Hotels Ltd","Unknown","HKSE"
"0046.HK","Computer And Technologies Holdings Ltd","Unknown","HKSE"
"0047.HK","Hop Hing Holdings Ltd","Unknown","HKSE"
"0050.HK","Hong Kong Ferry (Holdings) Co. Ltd","Unknown","HKSE"
"0051.HK","Harbour Centre Development Ltd","Unknown","HKSE"
"0052.HK","Fairwood Holdings Ltd","Unknown","HKSE"
"0053.HK","Guoco Group Ltd","Unknown","HKSE"
"0054.HK","Hopewell Holdings Ltd","Unknown","HKSE"
"0055.HK","Chung Tai Printing Holdings Ltd","Unknown","HKSE"
"0056.HK","Allied Properties (HK) Ltd","Unknown","HKSE"
"0057.HK","Chen Hsong Holdings Ltd","Unknown","HKSE"
"0060.HK","Four Seas Food Investment Holdings Ltd","Unknown","HKSE"
"0062.HK","Transport International Holdings Ltd","Unknown","HKSE"
"0063.HK","Winfoong International Ltd","Unknown","HKSE"
"0064.HK","Get Nice Holdings Ltd","Unknown","HKSE"
"0065.HK","Pacific Century Insurance Holdings Ltd","Unknown","HKSE"
"0066.HK","MTR Corporation Ltd","Unknown","HKSE"
"0067.HK","Lumena Resources","Unknown","HKSE"
"0069.HK","Shangri-La Asia Ltd","Unknown","HKSE"
"0070.HK","Massive Resources International Corporation Ltd","Unknown","HKSE"
"0071.HK","Miramar Hotel & Investment Co. Ltd","Unknown","HKSE"
"0072.HK","King Pacific International Holdings Ltd","Unknown","HKSE"
"0073.HK","Alpha General (holdings)","Unknown","HKSE"
"0074.HK","Great Wall Technology Co. Ltd","Unknown","HKSE"
"0075.HK","Y. T. Realty Group Ltd","Unknown","HKSE"
"0076.HK","South Sea Petroleum Holdings Ltd","Unknown","HKSE"
"0077.HK","AMS Public Transport Holdings Ltd","Unknown","HKSE"
"0078.HK","Regal Hotels International Holdings Ltd","Unknown","HKSE"
"0079.HK","Century Legend (Holdings) Ltd","Unknown","HKSE"
"0080.HK","Shaw Brothers (Hong Kong) Ltd","Unknown","HKSE"
"0081.HK","Shell Electric Mfg (Holdings) Co. Ltd","Unknown","HKSE"
"0082.HK","Yanion International Holdings Ltd","Unknown","HKSE"
"0083.HK","Sino Land Co. Ltd","Unknown","HKSE"
"0084.HK","Stelux Holdings International Ltd","Unknown","HKSE"
"0085.HK","China Electronics Corporation Holdings Co. Ltd","Unknown","HKSE"
"0086.HK","Sun Hung Kai & Co. Ltd","Unknown","HKSE"
"0087.HK","Swire Pacific Ltd 'B'","Unknown","HKSE"
"0088.HK","Tai Cheung Holdings Ltd","Unknown","HKSE"
"0089.HK","Tai Sang Land Development Ltd","Unknown","HKSE"
"0090.HK","Gold Wo International Holdings","Unknown","HKSE"
"0091.HK","New Smart Holdings Ltd","Unknown","HKSE"
"0092.HK","Champion Technology Holdings Ltd","Unknown","HKSE"
"0093.HK","Termbray Industries International (Holdings) Ltd","Unknown","HKSE"
"0094.HK","Omnicorp Ltd","Unknown","HKSE"
"0096.HK","Wing Lung Bank Ltd","Unknown","HKSE"
"0097.HK","Henderson Investment Ltd","Unknown","HKSE"
"0098.HK","Xingfa Aluminium Holdings Ltd","Unknown","HKSE"
"0099.HK","Wong's International (Holdings) Ltd","Unknown","HKSE"
"0100.HK","Clear Media Ltd","Unknown","HKSE"
"0101.HK","Hang Lung Properties Ltd","Unknown","HKSE"
"0103.HK","Shougang Concord Century Holdings Ltd","Unknown","HKSE"
"0105.HK","Associated International Hotels Ltd","Unknown","HKSE"
"0106.HK","Shenzhen High-Tech Holdings Ltd","Unknown","HKSE"
"0107.HK","Sichuan Expressway Co. Ltd","Unknown","HKSE"
"0109.HK","Wonderful World Holdings Ltd","Unknown","HKSE"
"0110.HK","Fortune Telecom Holdings Ltd","Unknown","HKSE"
"0111.HK","Hantec Investment Holdings Ltd","Unknown","HKSE"
"0112.HK","Chi Cheung Investment Co. Ltd","Unknown","HKSE"
"0113.HK","Dickson Concepts (International) Ltd","Unknown","HKSE"
"0114.HK","Herald Holdings Ltd","Unknown","HKSE"
"0116.HK","Chow Sang Sang Holdings International Ltd","Unknown","HKSE"
"0117.HK","EYANG Holdings Group Ltd","Unknown","HKSE"
"0118.HK","Cosmos Machinery Enterprises Ltd","Unknown","HKSE"
"0119.HK","Poly (Hong Kong) Investments Ltd","Unknown","HKSE"
"0120.HK","Cosmopolitan International Holdings Ltd","Unknown","HKSE"
"0121.HK","Chia Tai Enterprises International Ltd","Unknown","HKSE"
"0122.HK","Crocodile Garments Ltd","Unknown","HKSE"
"0123.HK","Yuexiu Property","Unknown","HKSE"
"0124.HK","Kingway Brewery Holdings Ltd","Unknown","HKSE"
"0125.HK","Sun Hing Vision Group Holdings Ltd","Unknown","HKSE"
"0126.HK","Tak Sing Alliance Holdings Ltd","Unknown","HKSE"
"0127.HK","Chinese Estates Holdings Ltd","Unknown","HKSE"
"0128.HK","ENM Holdings Ltd","Unknown","HKSE"
"0129.HK","Asia Standard International Group Ltd","Unknown","HKSE"
"0130.HK","Moiselle International Holdings Ltd","Unknown","HKSE"
"0131.HK","Cheuk Nang (Holdings) Ltd","Unknown","HKSE"
"0132.HK","China Investments Holdings Ltd","Unknown","HKSE"
"0133.HK","China Merchants China Direct Investments Ltd","Unknown","HKSE"
"0135.HK","Kunlun Energy","Unknown","HKSE"
"0137.HK","Jinhui Holdings Co. Ltd","Unknown","HKSE"
"0138.HK","CCT Telecom Holdings Ltd","Unknown","HKSE"
"0139.HK","139 Holdings Ltd","Unknown","HKSE"
"0141.HK","Great China Holdings Ltd","Unknown","HKSE"
"0142.HK","First Pacific Co. Ltd","Unknown","HKSE"
"0143.HK","Global Tech (Holdings) Ltd","Unknown","HKSE"
"0144.HK","China Merchants Holdings (International) Co. Ltd","Unknown","HKSE"
"0146.HK","Tai Ping Carpets International Ltd","Unknown","HKSE"
