"Code","Symbol","Industry","Board"
"20MICRONS.N","20 Microns Limite","Unknown","NSE"
"3IINFOTECH.N","3i Infotech Ltd","Unknown","NSE"
"3MINDIA.N","3M India Ltd","Unknown","NSE"
"A2ZMES.N","A2Z Maintenance a","Unknown","NSE"
"AARTIDRUGS.N","Aarti Drugs Ltd.","Unknown","NSE"
"AARTIIND.N","Aarti Industries","Unknown","NSE"
"AARVEEDEN.N","Aarvee Denims & E","Unknown","NSE"
"ABAN.N","Aban Offshore Ltd","Unknown","NSE"
"ABB.N","ABB India Ltd","Unknown","NSE"
"ABBOTINDIA.N","Abbott India Limi","Unknown","NSE"
"ABCIL.N","Aditya Birla Chem","Unknown","NSE"
"ABGSHIP.N","ABG Shipyard Ltd","Unknown","NSE"
"ABIRLANUVO.N","Aditya Birla Nuvo","Unknown","NSE"
"ACC.N","ACC Ltd","Unknown","NSE"
"ACCELYA.N","Accelya Kale Solu","Unknown","NSE"
"ACE.N","Action Constructi","Unknown","NSE"
"ACROPETAL.N","Acropetal Technol","Unknown","NSE"
"ADANIENT.N","Adani Enterprises","Unknown","NSE"
"ADANIPORTS.N","Adani Ports & Spe","Unknown","NSE"
"ADANIPOWER.N","Adani Power Limit","Unknown","NSE"
"ADFFOODS.N","ADF Foods Ltd.","Unknown","NSE"
"ADHUNIK.N","Adhunik Metaliks","Unknown","NSE"
"ADORWELD.N","Ador Welding Ltd.","Unknown","NSE"
"ADSL.N","Allied Digital Se","Unknown","NSE"
"ADVANTA.N","Advanta Ltd","Unknown","NSE"
"AEGISCHEM.N","Aegis Logistics L","Unknown","NSE"
"AFL.N","Accel Frontline L","Unknown","NSE"
"AFTEK.N","Aftek Ltd","Unknown","NSE"
"AGCNET.N","AGC Networks Ltd","Unknown","NSE"
"AHLEAST.N","ASIAN HOTELS (EAS","Unknown","NSE"
"AHLUCONT.N","Ahluwalia Contrac","Unknown","NSE"
"AHMEDFORGE.N","Ahmednagar Forgin","Unknown","NSE"
"AIAENG.N","AIA Engineering L","Unknown","NSE"
"AIL.N","ALSTOM India Ltd","Unknown","NSE"
"AJANTPHARM.N","Ajanta Pharma Ltd","Unknown","NSE"
"AJMERA.N","Ajmera Realty and","Unknown","NSE"
"AKSHOPTFBR.N","Aksh Optifibre Li","Unknown","NSE"
"AKZOINDIA.N","Akzo Nobel India","Unknown","NSE"
"ALBK.N","Allahabad Bank","Unknown","NSE"
"ALCHEM.N","Alchemist Ltd.","Unknown","NSE"
"ALEMBICLTD.N","Alembic Limited","Unknown","NSE"
"ALKALI.N","Alkali Metals Lim","Unknown","NSE"
"ALKYLAMINE.N","Alkyl Amines Chem","Unknown","NSE"
"ALLCARGO.N","Allcargo Logistic","Unknown","NSE"
"ALOKTEXT.N","Alok Industries L","Unknown","NSE"
"ALPHAGEO.N","Alphageo India Lt","Unknown","NSE"
"ALPINEHOU.N","Alpine Housing De","Unknown","NSE"
"ALPSINDUS.N","Alps Industries L","Unknown","NSE"
"ALSTOMT&D.N","ALSTOM T&D India","Unknown","NSE"
"AMAR.N","Amar Remedies Ltd","Unknown","NSE"
"AMARAJABAT.N","Amara Raja Batter","Unknown","NSE"
"AMARJOTHI.N","Amarjothi Spinnin","Unknown","NSE"
"AMBIKCO.N","Ambika Cotton Mil","Unknown","NSE"
"AMBUJACEM.N","Ambuja Cements Lt","Unknown","NSE"
"AMDIND.N","AMD Industries Lt","Unknown","NSE"
"AMRUTANJAN.N","Amrutanjan Health","Unknown","NSE"
"AMTEKAUTO.N","Amtek Auto Ltd","Unknown","NSE"
"AMTEKINDIA.N","Amtek India Ltd","Unknown","NSE"
"AMTL.N","Advance Metering","Unknown","NSE"
"ANANTRAJ.N","Anant Raj Ltd","Unknown","NSE"
"ANDHRABANK.N","Andhra Bank","Unknown","NSE"
"ANDHRACEMT.N","Andhra Cements Lt","Unknown","NSE"
"ANDHRSUGAR.N","Andhra Sugars Ltd","Unknown","NSE"
"ANIKINDS.N","Anik Industries L","Unknown","NSE"
"ANKITMETAL.N","Ankit Metal & Pow","Unknown","NSE"
"ANSALAPI.N","Ansal Properties","Unknown","NSE"
"ANSALHSG.N","Ansal Housing and","Unknown","NSE"
"ANTGRAPHIC.N","Antarctica Ltd","Unknown","NSE"
"APARINDS.N","Apar Industries L","Unknown","NSE"
"APCOTEXIND.N","Apcotex Industrie","Unknown","NSE"
"APLAPOLLO.N","Apl Apollo Tubes","Unknown","NSE"
"APLLTD.N","Alembic Pharmaceu","Unknown","NSE"
"APOLLOHOSP.N","Apollo Hospitals","Unknown","NSE"
"APOLLOTYRE.N","Apollo Tyres Ltd","Unknown","NSE"
"APPAPER.N","The Andhra Prades","Unknown","NSE"
"APTECHT.N","Aptech Ltd","Unknown","NSE"
"AQUA.N","Aqua Logistics Li","Unknown","NSE"
"ARCHIDPLY.N","Archidply Industr","Unknown","NSE"
"ARCHIES.N","Archies Limited","Unknown","NSE"
"ARIES.N","Aries Agro Ltd","Unknown","NSE"
