"Code","Symbol","Industry","Board"
"MTSM.JK","Metro Supermarket","Unknown","Jakarta"
"INCI.JK","Intanwijaya Inter","Unknown","Jakarta"
"SQMI.JK","Allbond Makmur Us","Unknown","Jakarta"
"GGRM.JK","Gudang Garam Tbk","Unknown","Jakarta"
"CLPI.JK","Colorpak Indonesi","Unknown","Jakarta"
"RIMO.JK","Rimo Catur Lestar","Unknown","Jakarta"
"JAKA.JK","Jaka Inti Realtin","Unknown","Jakarta"
"SMMT.JK","Eatertainment Int","Unknown","Jakarta"
"DPNS.JK","Duta Pertiwi Nusa","Unknown","Jakarta"
"RELI.JK","Reliance Securiti","Unknown","Jakarta"
"BNBA.JK","Bank Bumi Arta Tb","Unknown","Jakarta"
"PLIN.JK","Plaza Indonesia R","Unknown","Jakarta"
"WOMF.JK","Wahana Ottomitra","Unknown","Jakarta"
"BAYU.JK","Bayu Buana Tbk","Unknown","Jakarta"
"ALFA.JK","Alfa Retailindo T","Unknown","Jakarta"
"UNTX.JK","Unitex Tbk.","Unknown","Jakarta"
"ERTX.JK","Eratex Djaja Tbk","Unknown","Jakarta"
"MYRX.JK","Hanson Internatio","Unknown","Jakarta"
"TSPC.JK","Tempo Scan Pacifi","Unknown","Jakarta"
"ASRI.JK","Alam Sutera Realt","Unknown","Jakarta"
"KBLI.JK","KMI Wire and Cabl","Unknown","Jakarta"
"SMMA.JK","Sinar Mas Multiar","Unknown","Jakarta"
"POOL.JK","Pool Advista Indo","Unknown","Jakarta"
"SPMA.JK","Suparma Tbk","Unknown","Jakarta"
"TBMS.JK","Tembaga Mulia Sem","Unknown","Jakarta"
"JPFA.JK","JAPFA Tbk","Unknown","Jakarta"
"MFIN.JK","Mandala Multifina","Unknown","Jakarta"
"JASS.JK","Jasa Angkasa Seme","Unknown","Jakarta"
"BEKS.JK","Bank Eksekutif In","Unknown","Jakarta"
"SONA.JK","Sona Topas Touris","Unknown","Jakarta"
"GMTD.JK","Gowa Makassar Tou","Unknown","Jakarta"
"CNTB.JK","Saham Seri B ( Ce","Unknown","Jakarta"
"TKIM.JK","Pabrik Kertas Tji","Unknown","Jakarta"
"BMRI.JK","Bank Mandiri (Per","Unknown","Jakarta"
"GJTL.JK","Gajah Tunggal Tbk","Unknown","Jakarta"
"CSAP-W.JK","Waran Catur Sento","Unknown","Jakarta"
"MITI.JK","Mitra Investindo","Unknown","Jakarta"
"LAPD-R.JK","LAPD-R.JK","Unknown","Unknown"
"CSAP.JK","Catur Sentosa Adi","Unknown","Jakarta"
"KREN.JK","Kresna Graha Seku","Unknown","Jakarta"
"FASW.JK","Fajar Surya Wises","Unknown","Jakarta"
"PANR.JK","Panorama Sentrawi","Unknown","Jakarta"
"SIMA.JK","Siwani Makmur Tbk","Unknown","Jakarta"
"BMSR.JK","Bintang Mitra Sem","Unknown","Jakarta"
"TRUB-W.JK","Waran Seri I Trub","Unknown","Jakarta"
"SMRA.JK","Summarecon Agung","Unknown","Jakarta"
"LCGP.JK","Laguna Cipta Griy","Unknown","Jakarta"
"ATPK.JK","ATPK Resources Tb","Unknown","Jakarta"
"SCPI.JK","Schering Plough I","Unknown","Jakarta"
"PAFI.JK","Panasia Filament","Unknown","Jakarta"
"INDR.JK","Indorama Syntetic","Unknown","Jakarta"
"SKBM.JK","Sekar Bumi Tbk.","Unknown","Jakarta"
"INAF.JK","Indofarma Tbk","Unknown","Jakarta"
"AQUA.JK","Aqua Golden Missi","Unknown","Jakarta"
"MAIN.JK","Malindo Feedmill","Unknown","Jakarta"
"APOL.JK","Arpeni Pratama Oc","Unknown","Jakarta"
"INRU.JK","Toba Pulp Lestari","Unknown","Jakarta"
"LTLS.JK","Lautan Luas Tbk","Unknown","Jakarta"
"PTRA.JK","New Century Devel","Unknown","Jakarta"
"APEX.JK","Apexindo Pratama","Unknown","Jakarta"
"BLTA.JK","Berlian Laju Tank","Unknown","Jakarta"
"CMNP.JK","Citra Marga Nusha","Unknown","Jakarta"
"TRIM.JK","Trimegah Securiti","Unknown","Jakarta"
"TBLA-W.JK","Waran Seri I Tuna","Unknown","Jakarta"
"MASA.JK","Multistrada Arah","Unknown","Jakarta"
"PEGE.JK","Panca Global Secu","Unknown","Jakarta"
"ANTM.JK","Aneka Tambang (Pe","Unknown","Jakarta"
"ICON.JK","Island Concepts I","Unknown","Jakarta"
"ITTG.JK","Leo Investments T","Unknown","Jakarta"
"MYRXP.JK","Saham Seri B Hans","Unknown","Jakarta"
"UNVR.JK","Unilever Indonesi","Unknown","Jakarta"
"PNIN.JK","Panin Insurance T","Unknown","Jakarta"
"JSPT.JK","Jakarta Setiabudi","Unknown","Jakarta"
"TRUS.JK","Trust Finance Ind","Unknown","Jakarta"
"PNIN-W.JK","Waran Seri IV Pan","Unknown","Jakarta"
"UNTR.JK","United Tractors T","Unknown","Jakarta"
"BTPN.JK","Bank Tabungan Pen","Unknown","Jakarta"
"MTDL.JK","Metrodata Electro","Unknown","Jakarta"
"BACA.JK","Bank Capital Indo","Unknown","Jakarta"
"TINS.JK","Timah Tbk","Unknown","Jakarta"
"SRSN.JK","Indo Acidatama Tb","Unknown","Jakarta"
"SAFE.JK","Steady Safe Tbk","Unknown","Jakarta"
"MEDC.JK","Medco Energi Inte","Unknown","Jakarta"
"PTRO.JK","Petrosea Tbk","Unknown","Jakarta"
"LPBN.JK","LPBN.JK","Unknown","Unknown"
"PYFA.JK","Pyridam Farma Tbk","Unknown","Jakarta"
"SULI.JK","Sumalindo Lestari","Unknown","Jakarta"
"KARW.JK","Karwell Indonesia","Unknown","Jakarta"
"DILD.JK","Intiland Developm","Unknown","Jakarta"
"ASDM.JK","Asuransi Dayin Mi","Unknown","Jakarta"
"SING.JK","Singer Indonesia","Unknown","Jakarta"
"LPPS.JK","Lippo Securities","Unknown","Jakarta"
"EKAD.JK","Ekadharma Interna","Unknown","Jakarta"
"ASRM.JK","Asuransi Ramayana","Unknown","Jakarta"
"ELTY-W.JK","Waran Seri I Bakr","Unknown","Jakarta"
"INTP.JK","Indocement Tungga","Unknown","Jakarta"
"BVIC.JK","Bank Victoria Int","Unknown","Jakarta"
"TMPO.JK","Tempo Inti Media","Unknown","Jakarta"
"R-LQ45X.JK","Premier ETF LQ-45","Unknown","Jakarta"
"LPPF.JK","Pacific Utama Tbk","Unknown","Jakarta"
"KBLV.JK","First Media Tbk.","Unknown","Jakarta"
"YPAS-W.JK","Waran Seri I Yana","Unknown","Jakarta"
"SMMA-W3.JK","Waran Seri III Si","Unknown","Jakarta"
"KIAS.JK","Keramika Indonesi","Unknown","Jakarta"
"COWL.JK","Cowell Developmen","Unknown","Jakarta"
"GDYR.JK","Goodyear Indonesi","Unknown","Jakarta"
"KIJA.JK","Kawasan Industri","Unknown","Jakarta"
"TMPI.JK","AGIS Tbk","Unknown","Jakarta"
"ANTA.JK","Anta Express Tour","Unknown","Jakarta"
"DEWA.JK","Darma Henwa Tbk","Unknown","Jakarta"
"INDX.JK","Indoexchange Tbk","Unknown","Jakarta"
"DKFT.JK","Duta Kirana Finan","Unknown","Jakarta"
"CTRP.JK","Ciputra Property","Unknown","Jakarta"
"IATA.JK","Indonesia Air Tra","Unknown","Jakarta"
"MYTX.JK","Apac Citra Center","Unknown","Jakarta"
"IGAR.JK","Kageo Igar Jaya T","Unknown","Jakarta"
"TBLA.JK","Tunas Baru Lampun","Unknown","Jakarta"
"NIPS.JK","Nipress Tbk","Unknown","Jakarta"
"CNKO.JK","Central Korporind","Unknown","Jakarta"
"RIGS.JK","Rig Tenders Tbk","Unknown","Jakarta"
"LMSH.JK","Lion Mesh P. Tbk","Unknown","Jakarta"
"HMSP.JK","H M Sampoerna Tbk","Unknown","Jakarta"
"BNBR-W.JK","Waran Seri I Bakr","Unknown","Jakarta"
"DSUC.JK","Daya Sakti Unggul","Unknown","Jakarta"
"MEGA.JK","Bank Mega Tbk","Unknown","Jakarta"
"BMTR.JK","Global Mediacom T","Unknown","Jakarta"
"SSIA.JK","Surya Semesta Int","Unknown","Jakarta"
"PNBN-W.JK","Waran Seri IV Ban","Unknown","Jakarta"
"CITA.JK","Cita Mineral Inve","Unknown","Jakarta"
"ABDA.JK","Asuransi Bina Dan","Unknown","Jakarta"
"SUGI.JK","Sugi Samapersada","Unknown","Jakarta"
