"Code","Symbol","Industry","Board"
"AOC.TA","A-ONLINE","Unknown","TASE"
"ADN.TA","A.D.N","Unknown","TASE"
"AGIN-M.TA","A.G.L-M","Unknown","TASE"
"ALD.TA","A.L.D.","Unknown","TASE"
"AMS.TA","A.M.S. ELECTRO","Unknown","TASE"
"ABTR.TA","ABETRANS","Unknown","TASE"
"ACDP.TA","ACE DEPOT","Unknown","TASE"
"ADGR.TA","ADGAR INV.","Unknown","TASE"
"ADO.TA","ADO","Unknown","TASE"
"ADVT.TA","ADVANTECH HLDGS","Unknown","TASE"
"AFHL.TA","AFCON HOLD","Unknown","TASE"
"AFIL.TA","AFRICA","Unknown","TASE"
"AFID.TA","AFRICA INDUST","Unknown","TASE"
"AFPR.TA","AFRICA PROERT.","Unknown","TASE"
"AFRE.TA","AFRICA RESIDENC","Unknown","TASE"
"AFSK.TA","AFSK INDS","Unknown","TASE"
"AGRI-L.TA","AGRI INVEST","Unknown","TASE"
"ARPT.TA","AIRPORT CITY","Unknown","TASE"
"ALBA.TA","ALBAAD","Unknown","TASE"
"ALMD.TA","ALLIUM MEDICAL","Unknown","TASE"
"ALLT.TA","ALLOT COMMUNI","Unknown","TASE"
"BSI.TA","ALON BLUE SQUAR","Unknown","TASE"
"ALGS.TA","ALON GAS","Unknown","TASE"
"ALHE.TA","ALONY HETZ","Unknown","TASE"
"ALRO.TA","ALROV","Unknown","TASE"
"ALRPR.TA","ALROV PROPERT","Unknown","TASE"
"ALVR.TA","ALVARION","Unknown","TASE"
"AMAN.TA","AMANET","Unknown","TASE"
"AMRK.TA","AMIR MARK.","Unknown","TASE"
"AMOT.TA","AMOT","Unknown","TASE"
"AMPL.TA","AMPAL AMER","Unknown","TASE"
"ANLT.TA","ANALYST","Unknown","TASE"
"ANAC.TA","ANANEY COMMU.","Unknown","TASE"
"ANGL.TA","ANGEL SALOMON","Unknown","TASE"
"APOS.TA","APOSENSE","Unknown","TASE"
"APCR.TA","APPLICURE TECH","Unknown","TASE"
"APLS.TA","APPLISONIX","Unknown","TASE"
"ARD.TA","ARAD","Unknown","TASE"
"ARAD.TA","ARAD INVESTMENT","Unknown","TASE"
"ARAN.TA","ARAN","Unknown","TASE"
"ARZM.TA","ARAZIM INVESTMENTS","Unknown","TASE"
"ARGM.TA","ARGAMAN","Unknown","TASE"
"ARKO.TA","ARKO HOLDINGS","Unknown","TASE"
"ARYT.TA","ARYT","Unknown","TASE"
"ASDR.TA","ASHDAR","Unknown","TASE"
"ASHL.TA","ASHLAD","Unknown","TASE"
"ASHO.TA","ASHOT","Unknown","TASE"
"ASPR.TA","ASHTROM PROP","Unknown","TASE"
