"Code","Symbol","Industry","Board"
"5959.KL","A&M","Properties","Main"
"0012.KL","3A","IndustrialProducts","Main"
"7061.KL","ABRIC","IndustrialProducts","Second"
"7120.KL","ACOSTEC","ConsumerProducts","Main"
"7191.KL","ADVENTA","IndustrialProducts","Main"
"9148.KL","ADVPKG","IndustrialProducts","Second"
"7146.KL","AEM","IndustrialProducts","Second"
"6599.KL","AEON","TradingServices","Main"
"5139.KL","AEONCR","Finance","Main"
"5185.KL","AFFIN","Finance","Main"
"2488.KL","AFG","Finance","Main"
"0020.KL","AGLOBAL","Technology","Mesdaq"
"7315.KL","AHB","TradingServices","Second"
"7090.KL","AHEALTH","ConsumerProducts","Main"
"4952.KL","AHP","Trusts","Main"
"9547.KL","AIC","Technology","Main"
"7116.KL","AIKBEE","IndustrialProducts","Second"
"0122.KL","AIM","TradingServices","Mesdaq"
"5099.KL","AIRASIA","TradingServices","Main"
"8516.KL","AIRB","Infrastructure","Main"
"5014.KL","AIRPORT","TradingServices","Main"
"2682.KL","AISB","IndustrialProducts","Main"
"2658.KL","AJI","ConsumerProducts","Main"
"7609.KL","AJIYA","IndustrialProducts","Main"
"7068.KL","AKN","Technology","Main"
"5115.KL","ALAM","TradingServices","Main"
"5116.KL","ALAQAR","Trusts","Main"
"2674.KL","ALCOM","IndustrialProducts","Main"
"1163.KL","ALLIANZ","Finance","Main"
"1007.KL","AMPROP","Properties","Main"
"5120.KL","AMFIRST","Trusts","Main"
"1015.KL","AMBANK","Finance","Main"
"2313.KL","AMOLEK","Plantation","Main"
"7051.KL","AMTEK","ConsumerProducts","Second"
"7031.KL","AMTEL","TradingServices","Second"
"6351.KL","AMWAY","TradingServices","Main"
"7083.KL","ANALABS","TradingServices","Main"
"4758.KL","ANCOM","IndustrialProducts","Main"
"0048.KL","ANCOMLB","Technology","Mesdaq"
"6556.KL","ANNJOO","IndustrialProducts","Main"
"5568.KL","APB","IndustrialProducts","Main"
"5088.KL","APEX","Finance","Main"
"1716.KL","APLAND","Properties","Main"
"5015.KL","APM","IndustrialProducts","Main"
"6432.KL","APOLLO","ConsumerProducts","Main"
"7165.KL","PFCE","ConsumerProducts","Second"
"7214.KL","ARANK","IndustrialProducts","Second"
"7007.KL","ARK","Construction","Second"
"5127.KL","ARREIT","Trusts","Main"
"5975.KL","ASAS","Properties","Main"
"1481.KL","ASB","IndustrialProducts","Main"
"0068.KL","ASDION","Technology","Mesdaq"
"0150.KL","ASIABIO","Unknown","Unknown"
"0039.KL","ASIAEP","Technology","Mesdaq"
"7129.KL","ASIAFLE","ConsumerProducts","Main"
"4057.KL","ASIAPAC","Properties","Main"
"0105.KL","ASIAPLY","IndustrialProducts","Mesdaq"
"7162.KL","ASTINO","IndustrialProducts","Main"
"7070.KL","ASUPREM","IndustrialProducts","Second"
"0072.KL","AT","Technology","Mesdaq"
"5055.KL","ATIS","TradingServices","Main"
"7048.KL","ATLAN","IndustrialProducts","Second"
"5130.KL","ATRIUM","Trusts","Main"
"7181.KL","ATURMJU","IndustrialProducts","Second"
"7044.KL","AUTOAIR","IndustrialProducts","Second"
"7008.KL","AUTOV","IndustrialProducts","Second"
"7579.KL","AWC","TradingServices","Second"
"6888.KL","AXIATA","TradingServices","Main"
"7447.KL","AXIS","IndustrialProducts","Second"
"5106.KL","AXREIT","Trusts","Main"
