"Code","Symbol","Name","Board"
"ABA.NZ","Abano Healthcare","","NZSX"
"AFI.NZ","Australian Founda","","NZSX"
"AIA.NZ","Auckland Internat","","NZSX"
"AIR.NZ","Air New Zealand L","","NZSX"
"ALF.NZ","Allied Farmers Li","","NZSX"
"AMP.NZ","AMP Limited Ordin","","NZSX"
"ANO.NZ","AMP NZ Office Lim","","NZSX"
"ANZ.NZ","Australia and New Zealand Banki","","NZSX"
"APN.NZ","APN News & Media","","NZSX"
"ARG.NZ","Argosy Property T","","NZSX"
"ASBPA.NZ","ASB Capital Limit","","NZSX"
"ASBPB.NZ","ASB Capital No.2","","NZSX"
"AWF.NZ","AWF Group Limited","","NZSX"
"BGR.NZ","Briscoe Group Lim","","NZSX"
"BIT.NZ","The Bankers Inves","","NZSX"
"BLT.NZ","BLIS Technologies","","NZSX"
"BLTPA.NZ","BLIS Technologies","","NZSX"
"BPL.NZ","BROKEN HILL PROSP","","NZSX"
"BRM.NZ","Barramundi Limite","","NZSX"
"BRMWB.NZ","BRM 27/10/11 $0.7","","NZSX"
"BSH.NZ","Building Society","","NZSX"
"BTU.NZ","Bathurst Resource","","NZSX"
"CAV.NZ","Cavalier Corporat","","NZSX"
"CCC.NZ","Cavotec MSL Holdi","","NZSX"
"CDI.NZ","CDL Investments N","","NZSX"
"CDN.NZ","Caledonia Investm","","NZSX"
"CEN.NZ","Contact Energy Li","","NZSX"
"CENRA.NZ","Contact Energy Li","","NZSX"
"CHA.NZ","Charlie's Group L","","NZSX"
"CLA.NZ","Claridge Capital","","NZSX"
"CMO.NZ","The Colonial Moto","","NZSX"
"CUE.NZ","Cue Energy Resour","","NZSX"
"CVT.NZ","Comvita Limited O","","NZSX"
"DGL.NZ","Delegat's Group L","","NZSX"
"DIL.NZ","Diligent Board Me","","NZSX"
"DNZ.NZ","DNZ Property Fund","","NZSX"
"DOW.NZ","Downer EDI Limite","","NZSX"
"DPC.NZ","Dorchester Pacifi","","NZSX"
"DPCOA.NZ","DPCOA.NZ","","NZSX"
"EBO.NZ","Ebos Group Limite","","NZSX"
"ECO.NZ","Ecoya Limited Ord","","NZSX"
