"Code","Symbol","Industry","Board"
"MBC.LS","Banco Comercial Portugues","Unknown","Lisbon"
"EDP.LS","EDP Energias de Portugal","Unknown","Lisbon"
"SON.LS","SONAE R","Unknown","Lisbon"
"PTC.LS","Portugal Telecom","Unknown","Lisbon"
"TRAAP.LS","TRANSINSULAR","Unknown","Lisbon"
"ESON.LS","ESTORIL SOL R","Unknown","Lisbon"
"PCS.LS","RACOES CENTRO-SUL","Unknown","Lisbon"
"OIR.LS","OLIVEIRA IRMAO","Unknown","Lisbon"
"JMT.LS","Jeronimo Martins & Filho","Unknown","Lisbon"
"GALP.LS","GALP ENERGIA -B-","Unknown","Lisbon"
"BES.LS","Banco Espirito Santo","Unknown","Lisbon"
"PRG.LS","PROGADO","Unknown","Lisbon"
"EDPR.LS","EDP RENOVAVEIS","Unknown","Lisbon"
"BRI.LS","Brisa Autoestradas de Portugal","Unknown","Lisbon"
"BPI.LS","Banco Portugues De Inv.","Unknown","Lisbon"
"EGL.LS","Mota Engil","Unknown","Lisbon"
"TDU.LS","TEIXEIRA DUARTE","Unknown","Lisbon"
"CPR.LS","Cimpor Cimentos De Portu.","Unknown","Lisbon"
"ZON.LS","ZON MULTIMEDIA R","Unknown","Lisbon"
"RENE.LS","REN","Unknown","Lisbon"
"SEM.LS","Semapa Soc Inv Gestao","Unknown","Lisbon"
"ALTR.LS","ALTRI SGPS SA","Unknown","Lisbon"
"GLINT.LS","GLINTT-GLOBAL","Unknown","Lisbon"
"PTI.LS","Portucel Industrial","Unknown","Lisbon"
"INA.LS","Inapa","Unknown","Lisbon"
"SONC.LS","SONAE CAPITAL","Unknown","Lisbon"
"SONI.LS","SONAE INDUSTRIA R","Unknown","Lisbon"
"SNC.LS","SONAECOM R","Unknown","Lisbon"
"BNF.LS","Banif Banco Int Funchal","Unknown","Lisbon"
"SCOAE.LS","Grupo Soares da Costa SA","Unknown","Lisbon"
"CIN.LS","Cin Corpor. Ind. Do Norte","Unknown","Lisbon"
"VAF.LS","Porcelana Vista Alegre","Unknown","Lisbon"
"IPR.LS","Impresa Sociedade Gestora De Par","Unknown","Lisbon"
"CFN.LS","COFINA SGPS SA","Unknown","Lisbon"
"NBA.LS","NOVABASE SGPS SA","Unknown","Lisbon"
"MAR.LS","MARTIFER","Unknown","Lisbon"
"GCT.LS","Gescartao SGPS Sa","Unknown","Lisbon"
"LIG.LS","Lisgrafica Impres E Artes","Unknown","Lisbon"
"SVA.LS","SAG GEST","Unknown","Lisbon"
"OREAM.LS","Orey Antunes","Unknown","Lisbon"
"ESF.LS","E Santo Financial","Unknown","Lisbon"
"IBS.LS","Ibersol","Unknown","Lisbon"
"RAM.LS","F. RAMADA","Unknown","Lisbon"
"COR.LS","Corticeira Amorim SGPS SA","Unknown","Lisbon"
"FSP.LS","Fisipe","Unknown","Lisbon"
"RED.LS","Reditus","Unknown","Lisbon"
"FNB.LS","Finibanco","Unknown","Lisbon"
"SML.LS","Sumol+Compal S.A.","Unknown","Lisbon"
"FTN.LS","Fiacao E Tecidos Torres Nova","Unknown","Lisbon"
"COMAE.LS","Compta Equip. Serv. Info.","Unknown","Lisbon"
"SVDN.LS","SOLVERDE 2002 R","Unknown","Lisbon"
"SCP.LS","Sporting Sociedade Desportiva De Futebol","Unknown","Lisbon"
"SLBEN.LS","SPORT LISBOA BENF","Unknown","Lisbon"
"SNG.LS","SONAGI","Unknown","Lisbon"
"FCP.LS","Futebol Club Do Porto Fut.","Unknown","Lisbon"
"CIR.LS","CIRES SA","Unknown","Lisbon"
"GPA.LS","Imobiliaria Const. Grao","Unknown","Lisbon"
"FEN.LS","Fenalu","Unknown","Lisbon"
"FIT.LS","FITOR","Unknown","Lisbon"
"TIR.LS","Tertir Terminais De Port.","Unknown","Lisbon"
"MCP.LS","Grupo Media Capital","Unknown","Lisbon"
"CUR.LS","AGUAS CURIA","Unknown","Lisbon"
"PFE.LS","Papelaria Fernandes","Unknown","Lisbon"
"CPN.LS","CIPAN","Unknown","Lisbon"
"ESFN.LS","ESPIRITO SANTO REG","Unknown","Lisbon"
"LIT.LS","LITHO FORMAS","Unknown","Lisbon"
"CDU.LS","CONDURIL DURIENSE","Unknown","Lisbon"
"SCB.LS","SCB R","Unknown","Lisbon"
"POL.LS","POLIMAIA","Unknown","Lisbon"
"PEN.LS","PENINA","Unknown","Lisbon"
"NVLAP.LS","NORVALOR","Unknown","Lisbon"
"CPA.LS","COPAM","Unknown","Lisbon"
"SCT.LS","TOYOTA CAETANO PORT","Unknown","Lisbon"
"VAFK.LS","VAA-VIS.ALEG.ATLAN.","Unknown","Lisbon"
"SANT.LS","Banco Santander SA","Unknown","Lisbon"
"BPE.LS","Banco Popular Espanol","Unknown","Lisbon"
"ESO.LS","Estoril Sol","Unknown","Lisbon"
"SCOP.LS","GRUPO SOARES","Unknown","Lisbon"
"PAC.LS","EUROPAC-Papeles y Cartones de Europa SA","Unknown","Lisbon"
"SOM.LS","SOMOTA","Unknown","Lisbon"
"SYVA.LS","Sacyr Y Vallehermoso","Unknown","Lisbon"
"TCC.LS","BANCO MAIS R","Unknown","Lisbon"
"FPRN.LS","FIGUEIRA PRAIA R","Unknown","Lisbon"
"CAI.LS","CELULOSE DO CAIMA","Unknown","Lisbon"
"SMG.LS","SOMAGUE SGPS","Unknown","Lisbon"
