"Code","Symbol","Industry","Board"
"ABRD.RU","Abrau-Durso PAO","Unknown","MCX"
"AESL.RU","TPG Aessel PAO","Unknown","MCX"
"AFKS.RU","AFK Sistema OAO","Unknown","MCX"
"AFLT.RU","Aeroflot-Rossiyskiye Avialinii PAO","Unknown","MCX"
"AGRE.RU","AGAVA-Resurs ao","Unknown","MCX"
"AKHA.RU","PAVA OAO","Unknown","MCX"
"AKRN.RU","Akron OAO","Unknown","MCX"
"ALBK.RU","Best Efforts Bank PAO","Unknown","MCX"
"ALNU.RU","ALROSA-Nyurba OAO","Unknown","MCX"
"ALRS.RU","AK Alrosa PAO","Unknown","MCX"
"AMEZ.RU","Ashinskiy Metzavod PAO","Unknown","MCX"
"APDS.RU","Apparatura dal. svyazi ao","Unknown","MCX"
"APDSP.RU","Apparatura dal. svyazi ap","Unknown","MCX"
"APTK.RU","Aptechnaya set' 36,6'' PAO","Unknown","MCX"
"AQUA.RU","Russkaya akvakul'tura PAO","Unknown","MCX"
"ARMD.RU","Armada PAO","Unknown","MCX"
"ARSA.RU","ARSAGERA MGMT CO RUB1(RUB)","Unknown","MCX"
"ARSB.RU","Àrhenergosbyt ao","Unknown","MCX"
"ARSBP.RU","Àrhenergosbyt ap","Unknown","MCX"
"ASSB.RU","Astrakhanskaya energosbyt. komp. OAO (P)","Unknown","MCX"
"AVAN.RU","AKB Avangard PAO","Unknown","MCX"
"AVAZ.RU","AVTOVAZ OAO","Unknown","MCX"
"AVAZP.RU","AVTOVAZ OAO","Unknown","MCX"
"AZKM.RU","Azot","Unknown","MCX"
"BACT.RU","BiznesAktiv OAO","Unknown","MCX"
"BANE.RU","ANK Bashneft' PAO","Unknown","MCX"
"BANEP.RU","ANK Bashneft' PAO","Unknown","MCX"
"BEGY.RU","Bashkirenergo OAO","Unknown","MCX"
"BEGYP.RU","Bashkirenergo ap","Unknown","MCX"
"BFMA.RU","Bakaleynye fabriki M. Antonova OAO (P)","Unknown","MCX"
"BGDE.RU","Bogorodskiye Delikatesy PAO","Unknown","MCX"
"BISV.RU","Bashinformsvyaz' PAO (P)","Unknown","MCX"
"BISVP.RU","Bashinformsvyaz' PAO (P)","Unknown","MCX"
"BLNG.RU","Belon OAO","Unknown","MCX"
"BNSB.RU","Bryanskenergosbyt ao","Unknown","MCX"
"BNSBP.RU","Bryanskenergosbyt ap","Unknown","MCX"
"BRZL.RU","Buryatzoloto OAO","Unknown","MCX"
"BSPB.RU","Bank Sankt-Peterburg PAO","Unknown","MCX"
"BSPBP.RU","Bank Sankt-Peterburg PAO","Unknown","MCX"
"CBOM.RU","Moskovskiy Kreditnyi Bank OAO","Unknown","MCX"
"CHEP.RU","Chelyabinskiy truboprokatnyi zavod OAO","Unknown","MCX"
"CHGZ.RU","Chernogorneft' OAO (P)","Unknown","MCX"
"CHKZ.RU","CHELYABINSK FORGE& RUB200(RUB)","Unknown","MCX"
"CHMF.RU","Severstal' PAO","Unknown","MCX"
"CHMK.RU","Chelyabinskiy Metallurgicheskiy Kmbt PAO","Unknown","MCX"
"CHMZ.RU","ChMW ao","Unknown","MCX"
"CHSB.RU","Chita Energo Sbyt","Unknown","MCX"
"CHSBP.RU","Chita Energo Sbyt (pref)","Unknown","MCX"
"CHZN.RU","Chelyabinskiy tsinkovyi zavod OAO","Unknown","MCX"
"CITB.RU","KIT Finans Bank ao [T 2 Market]","Unknown","MCX"
"CLSB.RU","Chelyabenergosbyt PAO (P)","Unknown","MCX"
"CLSBP.RU","Chelyabenergosbyt PAO (P)","Unknown","MCX"
"CNTL.RU","Tsentral'nyi Telegraf PAO","Unknown","MCX"
"CNTLP.RU","Tsentral'nyi Telegraf PAO","Unknown","MCX"
"DALM.RU","Dal'energomash PAO","Unknown","MCX"
"DASB.RU","Dagestanskaya energosbytovaya kompan OAO","Unknown","MCX"
"DGBZ.RU","Dorogobuzh PAO","Unknown","MCX"
"DGBZP.RU","Dorogobuzh PAO","Unknown","MCX"
"DIKO.RU","DIK ao","Unknown","MCX"
"DIOD.RU","DIOD OAO","Unknown","MCX"
"DIXY.RU","Dixy Group PAO","Unknown","MCX"
"DLVB.RU","DalVostochny Bank","Unknown","MCX"
"DLVBP.RU","DalVostochny Bank p","Unknown","MCX"
"DNKOP.RU","Imeni Geroya VOV Danil'chenko V.I. PAO","Unknown","MCX"
"DVEC.RU","Dal'nevostochnaya Energtchskya Kmpny PAO","Unknown","MCX"
"DZRD.RU","Donskoy plant of radio components OJSC","Unknown","MCX"
"DZRDP.RU","DZRD pref.","Unknown","MCX"
"ELTZ.RU","Elektrotsink OAO","Unknown","MCX"
"ENRU.RU","Enel Rossiya PAO","Unknown","MCX"
"EPLN.RU","Yevroplan PAO","Unknown","MCX"
"ERAV.RU","IK RIA Era Vodoleya OAO (P)","Unknown","MCX"
"ERCO.RU","Energeticheskaya Russkaya Komp. OAO (P)","Unknown","MCX"
"ERMK.RU","Yermak Invest OAO","Unknown","MCX"
"ETGK.RU","Yeniseyskaya TGK (TGK-13) OAO","Unknown","MCX"
"EVCO.RU","EVC ý [T 2 Market]","Unknown","MCX"
"FEES.RU","FSK YeES PAO","Unknown","MCX"
"FESH.RU","Dal'nevostochnoye Morskoye Parkhdstv PAO","Unknown","MCX"
"FLKO.RU","Finansovaya Lizingovaya Komp. OAO (P)","Unknown","MCX"
"FORTP.RU","Fort OAO","Unknown","MCX"
"FSRV.RU","FinServis","Unknown","MCX"
"GAZA.RU","GAZ OAO","Unknown","MCX"
"GAZAP.RU","GAZ OAO","Unknown","MCX"
"GAZC.RU","Gazkon OAO","Unknown","MCX"
"GAZP.RU","Gazprom PAO","Unknown","MCX"
"GAZS.RU","Gaz-servis OAO","Unknown","MCX"
"GAZT.RU","GAZ-Tek OAO (Parent)","Unknown","MCX"
