"Code","Symbol","Industry","Board"
"3LKS.SI","N508100v 130401","Unknown","SES"
"3LLS.SI","N708100s 150701","Unknown","SES"
"3UHS.SI","N509100n 141001","Unknown","SES"
"3UIS.SI","Nx09100w 190601","Unknown","SES"
"3UJS.SI","Ny09100h 240901","Unknown","SES"
"500.SI","Tai Sin Electric Limited","Unknown","SES"
"502.SI","Hsr Global Limited","Unknown","SES"
"504.SI","Klw Holdings Ltd","Unknown","SES"
"505.SI","Asiamedic Limited","Unknown","SES"
"508.SI","Fuji Offset Plates Mfg Ltd","Unknown","SES"
"510.SI","Hiap Seng Engineering Ltd","Unknown","SES"
"519.SI","Top Global Limited","Unknown","SES"
"526.SI","Hg Metal Manufacturing Ltd","Unknown","SES"
"528.SI","Second Chance Properties Ltd","Unknown","SES"
"529.SI","Food Junction Holdings Limited","Unknown","SES"
"530.SI","China Titanium Ltd.","Unknown","SES"
"532.SI","Equation Corp Limited","Unknown","SES"
"533.SI","Abr Holdings Limited","Unknown","SES"
"535.SI","Vibropower Corporation Limited","Unknown","SES"
"536.SI","Goldtron Limited","Unknown","SES"
"538.SI","Asj Holdings Ltd","Unknown","SES"
"539.SI","Cph Ltd","Unknown","SES"
"540.SI","Tung Lok Restaurants 2000 Ltd","Unknown","SES"
"541.SI","Craft Print International Ltd","Unknown","SES"
"542.SI","Giken Sakata (s) Limited","Unknown","SES"
"543.SI","Noel Gifts International Ltd","Unknown","SES"
"544.SI","Cse Global Ltd","Unknown","SES"
"545.SI","Vallianz Holdings Limited","Unknown","SES"
"546.SI","Medtecs International Corp Ltd","Unknown","SES"
"547.SI","Nobel Design Holdings Ltd","Unknown","SES"
"550.SI","Elite Ksb Holdings Limited","Unknown","SES"
"552.SI","Qian Hu Corporation Limited","Unknown","SES"
"554.SI","King Wan Corporation Limited","Unknown","SES"
"557.SI","Viking Offshore And Marine Ltd","Unknown","SES"
"558.SI","Ums Holdings Limited","Unknown","SES"
"560.SI","Aztech Group Ltd.","Unknown","SES"
"561.SI","Teckwah Industrial Corp Ltd","Unknown","SES"
"564.SI","Spindex Industries Limited","Unknown","SES"
"566.SI","See Hup Seng Limited","Unknown","SES"
"567.SI","Colex Holdings Limited","Unknown","SES"
"568.SI","Baker Technology Limited","Unknown","SES"
"569.SI","Vicplas International Ltd","Unknown","SES"
"570.SI","Transit-mixed Concrete Ltd","Unknown","SES"
"571.SI","International Press Softcom","Unknown","SES"
"573.SI","Challenger Technologies Ltd","Unknown","SES"
"574.SI","Tsh Corporation Limited","Unknown","SES"
"575.SI","Asti Holdings Limited","Unknown","SES"
"576.SI","Magnus Energy Group Ltd.","Unknown","SES"
"578.SI","Ks Energy Limited","Unknown","SES"
"579.SI","Oceanus Group Limited","Unknown","SES"
"580.SI","Santak Holdings Limited","Unknown","SES"
"581.SI","Ite Electric Co Ltd","Unknown","SES"
"583.SI","Progen Holdings Ltd","Unknown","SES"
"584.SI","Oakwell Engineering Limited","Unknown","SES"
"585.SI","Asian Micro Holdings Ltd","Unknown","SES"
"586.SI","Tmc Education Corporation Ltd","Unknown","SES"
"587.SI","Lereno Bio-chem Ltd.","Unknown","SES"
"588.SI","Health Management Intl Ltd","Unknown","SES"
"591.SI","Innovalues Limited","Unknown","SES"
"593.SI","Lee Metal Group Ltd","Unknown","SES"
"594.SI","Loyz Energy Limited","Unknown","SES"
