"Code","Symbol","Industry","Board"
"UBSN.VX","UBS AG","Unknown","Virt_X"
"ABBN.VX","ABB Ltd.","Unknown","Virt_X"
"NESN.VX","NESTLE N","Unknown","Virt_X"
"CSGN.VX","Credit Suisse Group","Unknown","Virt_X"
"NOVN.VX","Novartis AG","Unknown","Virt_X"
"ROG.VX","Roche","Unknown","Virt_X"
"RUKN.VX","Swiss RE","Unknown","Virt_X"
"CFR.VX","RICHEMONT","Unknown","Virt_X"
"CLN.VX","Clariant AG","Unknown","Virt_X"
"HOLN.VX","Holcim Ltd.","Unknown","Virt_X"
"LOGN.VX","Logitech International SA","Unknown","Virt_X"
"PPHN.VX","Petroplus Holdings AG","Unknown","Virt_X"
"NOBN.VX","NOBEL BIOCARE N","Unknown","Virt_X"
"BAER.VX","JULIUS BAER GRP N","Unknown","Virt_X"
"ADEN.VX","Adecco Sa","Unknown","Virt_X"
"OERL.SW","OC Oerlikon Corporation AG","Unknown","Switzerland"
"ATLN.VX","Actelion Ltd.","Unknown","Virt_X"
"ZURN.VX","Zurich Financial Serv","Unknown","Virt_X"
"NESNE.VX","NESTLE N 2L","Unknown","Virt_X"
"SYNN.VX","Syngenta AG","Unknown","Virt_X"
"GAM.SW","GAM HLDG N","Unknown","Switzerland"
"SLOG.SW","Swisslog Holding AG","Unknown","Switzerland"
"EFGN.SW","EFG International","Unknown","Switzerland"
"TEMN.SW","Temenos","Unknown","Switzerland"
"LONN.VX","Lonza Group AG","Unknown","Virt_X"
"SYST.VX","Synthes","Unknown","Virt_X"
"SLHN.VX","Swiss Life Holding AG","Unknown","Virt_X"
"MBTN.SW","MEYER BURGER N","Unknown","Switzerland"
"UHR.VX","The Swatch Group","Unknown","Virt_X"
"ARYN.SW","ARYZTA N","Unknown","Switzerland"
"BALN.VX","Baloise-Holding AG","Unknown","Virt_X"
"UHRN.SW","THE SWATCH GRP REG","Unknown","Switzerland"
"KNIN.VX","Kuehne Nagel Ag","Unknown","Virt_X"
"SOON.VX","Sonova Holding AG","Unknown","Virt_X"
"SPSN.SW","Swiss Prime Site AG","Unknown","Switzerland"
"SCMN.VX","Swisscom AG","Unknown","Virt_X"
"GEBN.VX","GEBERIT N","Unknown","Virt_X"
"MYRN.SW","Myriad Group AG","Unknown","Switzerland"
"ABSIE.SW","ABSOLUTE INVEST","Unknown","Switzerland"
"ABSPE.SW","ABSOLUTE PRIVATE 2L","Unknown","Switzerland"
"EVE.SW","Evolva Holding SA.","Unknown","Switzerland"
