"Code","Symbol","Name","Board"
"3130.TW","一零四","一零四","Taiwan"
"2311.TW","日月光","日月光","Taiwan"
"2374.TW","佳能","佳能","Taiwan"
"4133.TW","亞諾法","亞諾法","Taiwan"
"2444.TW","友旺","友旺","Taiwan"
"6282.TW","康舒","康舒","Taiwan"
"1102.TW","亞洲水泥","亞洲水泥","Taiwan"
"2345.TW","智邦","智邦","Taiwan"
"8374.TW","羅昇","羅昇","Taiwan"
"1466.TW","聚隆纖維","聚隆纖維","Taiwan"
"2353.TW","宏碁","宏碁","Taiwan"
"3605.TW","宏致電子","宏致電子","Taiwan"
"1715.TW","亞洲化學","亞洲化學","Taiwan"
"3024.TW","憶聲","憶聲","Taiwan"
"4142.TW","國光生技","國光生技","Taiwan"
"6166.TW","凌華","凌華","Taiwan"
"1442.TW","名軒","名軒","Taiwan"
"2395.TW","研華","研華","Taiwan"
"1514.TW","亞力電機","亞力電機","Taiwan"
"1217.TW","愛之味","愛之味","Taiwan"
"3002.TW","歐格","歐格","Taiwan"
"9912.TW","偉聯科技","偉聯科技","Taiwan"
"6225.TW","天瀚","天瀚","Taiwan"
"1626.TW","F-艾美","F-艾美","Taiwan"
"1590.TW","F-亞德","F-亞德","Taiwan"
"3041.TW","揚智","揚智","Taiwan"
"3209.TW","全科科技","全科科技","Taiwan"
"3380.TW","明泰","明泰","Taiwan"
"3059.TW","華晶科","華晶科","Taiwan"
"2704.TW","國賓","國賓","Taiwan"
"2493.TW","揚博","揚博","Taiwan"
"2489.TW","瑞軒","瑞軒","Taiwan"
"6230.TW","超眾","超眾","Taiwan"
"1701.TW","中國化學","中國化學","Taiwan"
"1762.TW","中化合成","中化合成","Taiwan"
"2613.TW","中櫃","中櫃","Taiwan"
"2883.TW","開發金","開發金","Taiwan"
"1611.TW","中國電器","中國電器","Taiwan"
"1535.TW","中宇","中宇","Taiwan"
"1305.TW","華夏塑膠","華夏塑膠","Taiwan"
"5871.TW","F-中租","F-中租","Taiwan"
"2509.TW","全坤建","全坤建","Taiwan"
"2425.TW","承啟","承啟","Taiwan"
