"Code","Symbol","Industry","Board"
":KOZAA-E.TR","KOZA ANADOLU METAL MADENCILIK ISLETMELERI A.S.","Unknown","IST"
"ACSEL.TR","Aciselsan Acipayam Seluloz Sanayi","Unknown","IST"
"ADANA.TR","Adana Cimento Sanayii T.A.S.","Unknown","IST"
"ADBGR.TR","Adana Cimento Sanayii T.A.S.","Unknown","IST"
"ADEL.TR","Adel Kalemcilik Ticaret ve Sanayi A.S.","Unknown","IST"
"ADESE.TR","Adese Alisveris Merkezleri Ticaret AS","Unknown","IST"
"ADNAC.TR","Adana Cimento Sanayii T.A.S.","Unknown","IST"
"AEFES.TR","Anadolu Efes Biracilik ve Malt Sanayi AS","Unknown","IST"
"AFMAS.TR","Afm Uluslrs Film Prdksyn Tcrt ve Sny AS","Unknown","IST"
"AFYON.TR","Afyon Cimento Sanayi T.A.S.","Unknown","IST"
"AGYO.TR","Atakule Gayrimenkul Yatirim Ortakligi AS","Unknown","IST"
"AKBNK.TR","Akbank T.A.S.","Unknown","IST"
"AKCNS.TR","Akcansa Cimento Sanayi Ve Ticaret A.S.","Unknown","IST"
"AKENR.TR","Akenerji Elektrik Uretim A.S.","Unknown","IST"
"AKFEN.TR","Akfen Holding AS","Unknown","IST"
"AKFGY.TR","Akfen Gayrimenkul Yatirim Ortakligi AS","Unknown","IST"
"AKGRT.TR","Aksigorta A.S.","Unknown","IST"
"AKGUV.TR","Akdeniz Guvenlik Hizmetleri AS","Unknown","IST"
"AKMGY.TR","Akmerkez Gayrimenkul Yatirim Ort. A.S.","Unknown","IST"
"AKPAZ.TR","Akyurek Tuketim Urunleri Pazar Dag ve","Unknown","IST"
"AKSA.TR","Aksa Akrilik Kimya Sanayii AS","Unknown","IST"
"AKSEL.TR","Aksel Yatirim Holding AS","Unknown","IST"
"AKSEN.TR","Aksa Enerji Uretim AS","Unknown","IST"
"AKSGY.TR","AKIS GMYO","Unknown","IST"
"AKSUE.TR","Aksu Enerji ve Ticaret A.S.","Unknown","IST"
"ALARK.TR","Alarko Holding A.S.","Unknown","IST"
"ALBRK.TR","Albaraka Turk Katilim Bankasi AS","Unknown","IST"
"ALCAR.TR","Alarko Carrier Sanayi ve Ticaret AS","Unknown","IST"
"ALCTL.TR","Alcatel Lucent Teletas Telekomunikasyon","Unknown","IST"
"ALGYO.TR","Alarko Gayrimenkul Yatirim Ortakligi AS","Unknown","IST"
"ALKA.TR","Alkim Kagit Sanayi ve Ticaret A.S.","Unknown","IST"
"ALKIM.TR","Alkim Alkali Kimya A.S.","Unknown","IST"
"ALNTF.TR","Alternatifbank A.S.","Unknown","IST"
"ALYAG.TR","Altinyag Kombinalari A.S.","Unknown","IST"
"ANACM.TR","Anadolu Cam Sanayii A.S.","Unknown","IST"
"ANELE.TR","Anel Elektrik Proje Taahhut ve Tic. A.S.","Unknown","IST"
"ANELT.TR","Anel Telekomunikasyon Elektronik Sist.","Unknown","IST"
"ANHYT.TR","Anadolu Hayat Emeklilik AS","Unknown","IST"
"ANSA.TR","Ansa Yatirim Holding AS","Unknown","IST"
"ANSGR.TR","Anadolu Anonim Turk Sigorta Sirketi","Unknown","IST"
"ARBUL.TR","Arbul Entegre Tekstil Isletmeleri AS","Unknown","IST"
"ARCLK.TR","Arcelik AS","Unknown","IST"
"ARENA.TR","Arena Bilgisayar Sanayi ve Ticaret AS","Unknown","IST"
"ARFYO.TR","Alternatif Yatirim Ortakligi A.S.","Unknown","IST"
"ARMDA.TR","Armada Blgsyr Stmlr Sny ve Tcrt AS","Unknown","IST"
"ARSAN.TR","Arsan Tekstil Ticaret ve Sanayi A.S.","Unknown","IST"
"ARTI.TR","Arti Yatirim Holding AS","Unknown","IST"
"ARTOG.TR","Ar Tarim Organik Gida AS","Unknown","IST"
"ASCEL.TR","ASIL CELIK","Unknown","IST"
"ASELS.TR","Aselsan Elektronik Sanayi ve Ticaret AS","Unknown","IST"
"ASLAN.TR","Aslan Cimento AS","Unknown","IST"
"ASUZU.TR","Anadolu Isuzu Otomotiv Sanayii v Tcrt AS","Unknown","IST"
"ASYAB.TR","Asya Katilim Bankasi A.S.","Unknown","IST"
"ATAC.TR","Atac Insaat ve Sanayi AS","Unknown","IST"
"ATAGY.TR","Ata Gayrimenkul Yatirim Ortakligi AS","Unknown","IST"
"ATEKS.TR","Akin Tekstil AS","Unknown","IST"
"ATLAS.TR","Atlas Menkul Kiymetler Yatirim Ortakligi","Unknown","IST"
"ATPET.TR","Atlantik Petrol Urnlr Tcrt ve SAS","Unknown","IST"
"ATSYH.TR","Atlantis Yatirim Holding AS","Unknown","IST"
"AVGYO.TR","Avrasya Menkul Kiymetler Yatirim Ortak.","Unknown","IST"
"AVHOL.TR","Avrupa Yatirim Holding AS","Unknown","IST"
"AVISA.TR","AvivaSA Emeklilik ve Hayat AS","Unknown","IST"
"AVOD.TR","AVOD Kurutulmus Gida ve Tarim","Unknown","IST"
"AVTUR.TR","Avrasya Petrol ve Turistik Tslr Ytrmr AS","Unknown","IST"
"AYCES.TR","Altin Yunus Cesme Turistik Tesisler A.S.","Unknown","IST"
"AYEN.TR","Ayen Enerji A.S.","Unknown","IST"
"AYES.TR","AYES CELIK HASIR VE CIT","Unknown","IST"
"AYGAZ.TR","Aygaz AS","Unknown","IST"
"BAGFS.TR","Bagfas Bandirma Gubre Fabrikalari A.S.","Unknown","IST"
"BAKAB.TR","Bak Ambalaj Sanayi ve Ticaret A.S.","Unknown","IST"
"BAKAN.TR","Bakanlar Medya AS","Unknown","IST"
"BALAT.TR","BALATACILAR BALATACILIK","Unknown","IST"
"BANVT.TR","Banvit Bandirma Vitaminli Yem Sanayii","Unknown","IST"
"BASCM.TR","BASTAS BASKENT CIMENTO","Unknown","IST"
"BERDN.TR","Berdan Tekstil Sanayi ve Ticaret A.S.","Unknown","IST"
"BEYAZ.TR","Beyaz Filo Oto Kiralama AS","Unknown","IST"
"BFREN.TR","Bosch Fren Sistemleri San. ve Tic. A.S.","Unknown","IST"
"BIMAS.TR","BIM Birlesik Magazalar A.S.","Unknown","IST"
"BISAS.TR","Bisas Tekstil Sanayi ve Ticaret AS","Unknown","IST"
"BIZIM.TR","Bizim Toptan Satis Magazalari AS","Unknown","IST"
"BJKAS.TR","Besiktas Futbol Yatirimlar Sny v Tcrt AS","Unknown","IST"
"BLCYT.TR","Bilici Yatirim Sanayi ve Ticaret AS","Unknown","IST"
"BMEKS.TR","Bimeks Bilgi Islem ve Dis Ticaret AS","Unknown","IST"
"BMELK.TR","Bomonti Elektrik Muhendislik Msvk ITvTAS","Unknown","IST"
"BNKTR.TR","TURKEY LARGE-CAP BANKS ETF","Unknown","IST"
"BNTAS.TR","Bantas Bandirma Ambalaj Sanayi ve Ticare","Unknown","IST"
"BOLUC.TR","Bolu Cimento Sanayii A.S.","Unknown","IST"
"BOSSA.TR","Bossa Ticaret ve Sanayi Isletmeleri TAS","Unknown","IST"
"BOYNR.TR","Boyner Buyuk Magazacilik AS","Unknown","IST"
"BOYP.TR","Boyner Perakende Ve Tekstil Yatirimlr AS","Unknown","IST"
"BRISA.TR","Brisa Bridgestone Sabanci Lastik San.","Unknown","IST"
"BRKO.TR","Birko Birlesik Koyunlulular Mensucat Tic","Unknown","IST"
"BRKSN.TR","Berkosan Yalitim ve Tecrit Maddeleri","Unknown","IST"
"BRMEN.TR","Birlik Mensucat Tic. ve San. Isletmesi","Unknown","IST"
"BRSAN.TR","Borusan Mannesmann Boru Sanayi v Tcrt AS","Unknown","IST"
"BRYAT.TR","Borusan Yatirim ve Pazarlama AS","Unknown","IST"
"BSHEV.TR","BSH Ev Aletleri Sanayi ve Ticaret AS","Unknown","IST"
"BSOKE.TR","Batisoke Soke Cimento Sanayii T.A.S.","Unknown","IST"
"BTCIM.TR","Baticim Bati Anadolu Cimento Sanayii AS","Unknown","IST"
"BUCIM.TR","Bursa Cimento Fabrikasi A.S.","Unknown","IST"
"BURCE.TR","Burcelik Bursa Celik Dokum Sanayii A.S.","Unknown","IST"
"BURVA.TR","Burcelik Vana Sanayi ve Ticaret A.S.","Unknown","IST"
"CBSBO.TR","CBS Boya Kimya Sanayii ve Ticaret A.S.","Unknown","IST"
"CCOLA.TR","Coca Cola Icecek AS","Unknown","IST"
"CELHA.TR","Celik Halat ve Tel Sanayii A.S.","Unknown","IST"
"CEMAS.TR","Cemas Dokum Sanayi AS","Unknown","IST"
"CEMTS.TR","Cemtas Celik Makina Sanayi ve Ticaret AS","Unknown","IST"
"CIMSA.TR","Cimsa Cimento Sanayi ve Ticaret A.S.","Unknown","IST"
"CLEBI.TR","Celebi Hava Servisi A.S.","Unknown","IST"
"CLKHO.TR","CLK Holding AS","Unknown","IST"
"CMBTN.TR","Cimbeton Hazir Beton ve Prefabrik Yapi","Unknown","IST"
"CMENT.TR","Cimentas Izmir Cimento Fabrikasi Turk AS","Unknown","IST"
"COMDO.TR","Componenta Dokumculuk Ticaret ve Sny AS","Unknown","IST"
"COSMO.TR","Cosmos Yatirim Holding AS","Unknown","IST"
"CRDFA.TR","Creditwest Faktoring AS","Unknown","IST"
"CRFSA.TR","Carrefoursa Carrefour Sabanci Tic. Merk.","Unknown","IST"
"CUSAN.TR","Cuhadaroglu Metal Sanayi ve Pazarlama AS","Unknown","IST"
"DAGHL.TR","Dagi Yatirim Holding AS","Unknown","IST"
"DAGI.TR","Dagi Giyim Sanayi ve Ticaret AS","Unknown","IST"
"DARDL.TR","Dardanel Onentas Gida Sanayi AS","Unknown","IST"
"DENCM.TR","Denizli Cam Sanayi ve Ticaret AS","Unknown","IST"
