"Code","Symbol","Industry","Board"
"ADID.L","ARMOR DES DI","Unknown","London"
"ADIS.L","ARMOR DES REGS","Unknown","London"
"AVON.L","AVON RUBBER","Unknown","London"
"BA.L","BAE SYS.","Unknown","London"
"BOE.L","BOEING CO","Unknown","London"
"CHG.L","CHEMRING GROUP","Unknown","London"
"COB.L","COBHAM","Unknown","London"
"85GU.L","COBHAM 6%CUM PF","Unknown","London"
"CSSG.L","CROMA SECURITY SOL","Unknown","London"
"DTE.L","DATONG","Unknown","London"
"DTEA.L","DATONG ASSD CASH","Unknown","London"
"MGGT.L","MEGGITT","Unknown","London"
"QQ.L","QINETIQ","Unknown","London"
"RR.L","ROLLS-ROYCE HLDGS","Unknown","London"
"SNR.L","SENIOR","Unknown","London"
"STAR.L","STARCOM","Unknown","London"
"ULE.L","ULTRA ELEC.","Unknown","London"
"WSG.L","WESTMINSTER","Unknown","London"
"C21.L","21ST CENT TECH","Unknown","London"
"CAP.L","CLEAN AIR","Unknown","London"
"GKN.L","GKN","Unknown","London"
"KSI.L","KLEENAIR SYS INT","Unknown","London"
"56UB.L","KUMHO 144A","Unknown","London"
"MFW.L","MAYFLOWER","Unknown","London"
"PPS.L","PROTON POWER","Unknown","London"
"RGP.L","ROSS GRP.","Unknown","London"
"SCE.L","SURFACE TRANS","Unknown","London"
"TRK.L","TOROTRAK","Unknown","London"
"TYT.L","TOYOTA MOTOR","Unknown","London"
"TRT.L","TRANSENSE TECH.","Unknown","London"
"VMT.L","VMOTO LTD","Unknown","London"
"VKW.L","VOLKSWAGEN","Unknown","London"
"50IT.L","VOLKSWAGEN VZ","Unknown","London"
"LLPL.L","6.0884 LLOYDS NCP","Unknown","London"
"01NX.L","ALPHA BK.GDR 4A","Unknown","London"
"AXBA.L","AXIS BANK 144A","Unknown","London"
"BNC.L","BANCO SANTANDER","Unknown","London"
"80OA.L","BANK HAP.GDR4A","Unknown","London"
"BKIR.L","BANK IRELAND","Unknown","London"
"BAC.L","BANK OF AMERICA","Unknown","London"
"BGEO.L","BANK OF GEORGIA HLD","Unknown","London"
"85PL.L","BANK PEKAO 144A","Unknown","London"
"43KV.L","BANK.AUDI(144A)","Unknown","London"
"69IR.L","BANQ.MAR.GDR(A)","Unknown","London"
"BARC.L","BARCLAYS","Unknown","London"
"BVA.L","BBVA","Unknown","London"
"BUBA.L","BDO UNI SP GDR-144A","Unknown","London"
"12IY.L","BHARTI/HSBC WT20","Unknown","London"
"96LE.L","BIAT SP GDR-144A","Unknown","London"
"55BC.L","C BK QATAR A","Unknown","London"
"41JB.L","COMM SP GDR-144A","Unknown","London"
"CZB.L","COMMERZBANK","Unknown","London"
"FEDA.L","FEDERAL BK A","Unknown","London"
"01LS.L","FINANSBK.GDR 4A","Unknown","London"
"87QR.L","GUARANTY A","Unknown","London"
"HSBA.L","HSBC HLDGS.UK","Unknown","London"
"DJUB.L","IPATH DJUBS COM","Unknown","London"
"AGGS.L","IPATH S&P AGRIC","Unknown","London"
"NRGY.L","IPATH S&P ENER","Unknown","London"
"SEED.L","IPATH S&P GRAIN","Unknown","London"
"SPGS.L","IPATH S&P IDX","Unknown","London"
"IMET.L","IPATH S&P IND","Unknown","London"
"PMET.L","IPATH S&P PREC","Unknown","London"
"SOFT.L","IPATH S&P SOFTS","Unknown","London"
"VXIS.L","IPATH S&P500 ST","Unknown","London"
"01IS.L","KOMERCNI GDR 4A","Unknown","London"
"LLPC.L","LLOYDS GRP 9.25","Unknown","London"
"LLPD.L","LLOYDS GRP 9.75","Unknown","London"
"LLOY.L","LLOYDS GRP.","Unknown","London"
"83VS.L","LLOYDS GRP. 13","Unknown","London"
"83VT.L","LLOYDS GRP. 13","Unknown","London"
"LLPF.L","LLOYDS GRP6.088","Unknown","London"
"LLPG.L","LLOYDS GRP6.367","Unknown","London"
"LLPE.L","LLOYDS GRP6.475","Unknown","London"
"LLD3.L","LLOYDS SP ADR REG-S","Unknown","London"
"LLD4.L","LLOYDS SP ADR-144A","Unknown","London"
"LLD2.L","LLOYDS SP ADR-144A","Unknown","London"
"LLD6.L","LLOYDS TSB ADR-144A","Unknown","London"
"MCBA.L","MCB BK 144A","Unknown","London"
"NWBD.L","NAT.WEST 9%PF","Unknown","London"
"NBNK.L","NBNK INVEST","Unknown","London"
"NMB.L","NMBZ HLDGS UK","Unknown","London"
"11JA.L","RELIANCE/HSBC WT22","Unknown","London"
"RBS.L","ROYAL BK SCOTL GR","Unknown","London"
"SAN.L","SANT UK.10TE%","Unknown","London"
"SANB.L","SANT UK.8FEPF","Unknown","London"
"38LF.L","SBERBANKSPGDR144A","Unknown","London"
"STB.L","SECURE TRUST BANK","Unknown","London"
"MOOO.L","SPGCLVT/BARC 40 ETN","Unknown","London"
"37ZM.L","STAN.CHTD.144A","Unknown","London"
"37ZL.L","STAN.CHTD.REG S","Unknown","London"
"STAB.L","STAND.CH.7TE%PR","Unknown","London"
"STAN.L","STAND.CHART.","Unknown","London"
"STAC.L","STAND.CHART.8Q%","Unknown","London"
"SBIA.L","STAT.BK.IND144A","Unknown","London"
"CPBB.L","THE CO-OP 9.25NCIRP","Unknown","London"
"41OV.L","TURK EKO.BK. 4A","Unknown","London"
"39IS.L","TURKIYE G.ADS4A","Unknown","London"
"98LM.L","TURKY SP ADR-144A","Unknown","London"
"UBLA.L","UTD.BK (144A)","Unknown","London"
"36GK.L","VTB BNK SP GDR-144A","Unknown","London"
"98KI.L","YAPI KREDI 4A","Unknown","London"
"BAG.L","A.G. BARR","Unknown","London"
"BES.L","BLAVOD WINES","Unknown","London"
"BVIC.L","BRITVIC","Unknown","London"
"CCR.L","C&C GRP","Unknown","London"
"CCH.L","COCA-COLA HBC N","Unknown","London"
"DGE.L","DIAGEO","Unknown","London"
"FSTA.L","FULLER SMITH 'A'","Unknown","London"
"HVT.L","HEAVITREE","Unknown","London"
"HVTA.L","HEAVITREE.A","Unknown","London"
"SAB.L","SABMILLER","Unknown","London"
"SHLP.L","SHELLPROOF","Unknown","London"
"YNGA.L","YOUNG & CO 'A'","Unknown","London"
"YNGN.L","YOUNG & CO N/V","Unknown","London"
"AXS.L","ACCSYS TECH","Unknown","London"
