"Code","Symbol","Industry","Board"
"A","Agilent Technologies","Unknown","NYSE"
"AA","Alcoa Inc.","Unknown","NYSE"
"AAN","Aaron's Inc.","Unknown","NYSE"
"AAP","Advance Auto Parts Inc","Unknown","NYSE"
"AAT","American Assets Trust","Unknown","NYSE"
"AAV","Advantage Oil & Gas Ltd","Unknown","NYSE"
"AB","Alliance Capital Management L.P.","Unknown","NYSE"
"ABB","Abb Ltd","Unknown","NYSE"
"ABC","Amerisourcebergen Corporation","Unknown","NYSE"
"ABG","Asbury Automotive Group Inc","Unknown","NYSE"
"ABM","Abm Industries Incorporated","Unknown","NYSE"
"ABR","Arbor Realty Trust","Unknown","NYSE"
"ABT","Abbott Laboratories","Unknown","NYSE"
"ABV","Companhia De Bebidas - Ambev","Unknown","NYSE"
"ABV.C","Companhia De Bebidas - Ambev","Unknown","NYSE"
"ABW-A","Asbc Capital I 7.625","Unknown","NYSE"
"ABW-B","Associated Banc-Corp Depositary","Unknown","NYSE"
"ABX","Barrick Gold Corp.","Unknown","NYSE"
"ACC","American Campus Communities Inc","Unknown","NYSE"
"ACCO","Acco Brands Corp.","Unknown","NYSE"
"ACE","Ace Limited","Unknown","NYSE"
"ACG","Alliancebernstein Income Fund Inc","Unknown","NYSE"
"ACH","Aluminum Corporation Of China Ltd","Unknown","NYSE"
"ACI","Arch Coal","Unknown","NYSE"
"ACM","Aecom Technology Corp.","Unknown","NYSE"
"ACMP","Access Midstream Partners L.P.","Unknown","NYSE"
"ACN","Accenture Plc.","Unknown","NYSE"
"ACO","Amcol International Corp.","Unknown","NYSE"
"ACP","Avenue Income Credit Strategies","Unknown","NYSE"
"ACRE","Ares Commercial Real Estate Cor","Unknown","NYSE"
"ACTV","Active Network Inc","Unknown","NYSE"
"ACW","Accuride Corporation New","Unknown","NYSE"
"ADC","Agree Realty Corp.","Unknown","NYSE"
"ADM","Archer-Daniels-Midland Company","Unknown","NYSE"
"ADS","Alliance Data Systems Corp.","Unknown","NYSE"
"ADX","Adams Express Company","Unknown","NYSE"
"ADY","Feihe International","Unknown","NYSE"
"AEB","Aegon Nv","Unknown","NYSE"
"AEC","Associated Estates Realty Corp.","Unknown","NYSE"
"AED","Aegon Nv","Unknown","NYSE"
"AEE","Ameren Corp.","Unknown","NYSE"
"AEF","Aegon Nv","Unknown","NYSE"
"AEG","Aegon Nv","Unknown","NYSE"
"AEH","Aegon Nv","Unknown","NYSE"
"AEK","Aegon N.V. 8.00%","Unknown","NYSE"
"AEL","American Equity Investment Life","Unknown","NYSE"
"AEM","Agnico-Eagle Mines Limited","Unknown","NYSE"
"AEO","American Eagle Outfitters","Unknown","NYSE"
"AEP","American Electric Power Company","Unknown","NYSE"
"AEP-A","Aep Pfd A","Unknown","NYSE"
"AER","Aercap Holdings N.V.","Unknown","NYSE"
"AES","The Aes Corp.","Unknown","NYSE"
"AES-C","Aes TR III 6.75 Pfd","Unknown","NYSE"
"AET","Aetna Inc.","Unknown","NYSE"
"AEV","Aegon Nv","Unknown","NYSE"
"AF","Astoria Financial Corp.","Unknown","NYSE"
"AFA","American Financial Group Inc.","Unknown","NYSE"
"AFB","Alliance National Municipal","Unknown","NYSE"
"AFC","Allied Capital Corp.","Unknown","NYSE"
"AFE","American Financial Group","Unknown","NYSE"
"AFF","American International Group","Unknown","NYSE"
"AFG","American Financial Group","Unknown","NYSE"
"AFL","Aflac Incorporated","Unknown","NYSE"
"AFQ","American Financial Group","Unknown","NYSE"
"AFT","Apollo Senior Floating Rate Fund Inc.","Unknown","NYSE"
"AFW","American Financial Group Inc.","Unknown","NYSE"
"AG","First Majestic Silver","Unknown","NYSE"
"AGC","Advent Claymore Convertible Securities","Unknown","NYSE"
"AGCO","Agco Corp.","Unknown","NYSE"
"AGD","Alpine Global Dynamic Dividend Fund","Unknown","NYSE"
"AGM","Federal Agricultural Mortgage Corp.","Unknown","NYSE"
"AGM.A","Federal Agricultural Mortgage Corp.","Unknown","NYSE"
"AGN","Allergan","Unknown","NYSE"
"AGO","Assured Guaranty Ltd","Unknown","NYSE"
"AGO-B","Assured Guaranty Ltd [B]","Unknown","NYSE"
"AGO-E","Assured Guaranty Ltd [E]","Unknown","NYSE"
"AGO-F","Assured Guaranty Ltd [F]","Unknown","NYSE"
"AGP","Amerigroup Corp.","Unknown","NYSE"
"AGRO","Adecoagro S.A.","Unknown","NYSE"
"AGU","Agrium Inc.","Unknown","NYSE"
"AH","Accretive Health","Unknown","NYSE"
"AHC","A.H. Belo Corp.","Unknown","NYSE"
"AHL","Aspen Insurance Holdings","Unknown","NYSE"
"AHL-A","Aspen Insurance Pfd","Unknown","NYSE"
"AHL-B","Aspen Insurance Holdings Limit","Unknown","NYSE"
"AHL.P","Aspen Ins Pfd Inc","Unknown","NYSE"
"AHS","Amn Healthcare Services Inc","Unknown","NYSE"
"AHT","Ashford Hospitality Trust Inc","Unknown","NYSE"
"AHT-A","Ashford Hsop TR Pfd","Unknown","NYSE"
"AHT-D","Ashford Hosp D Pfd","Unknown","NYSE"
"AHT-E","Ashford Hospitality Trust Inc 9","Unknown","NYSE"
